67.4002
903.487
67.687
139.343
52.028
903.873
195.598
1131.24
78.572
1249.59
39.647
1224.36
530.287
956.638
timeout
timeout
timeout
147.024
107.892
575.338
560.781
112.508
561.143
560.647
505.986
558.545
558.189
558.738
562.951
227.067
501.971
561.759
500.541
153.805
timeout
181.804
509.593
156.727
160.82
803.831
373.6
442.038
111.867
237.176
timeout
timeout
timeout
timeout
timeout
772.236
1529.27
timeout
