9.70259
19.9157
7.39982
127.392
28.5349
159.318
11.2992
175.127
5.71304
170.927
75.524
134.549
timeout
810.09
timeout
21.0933
15.7079
81.5403
79.0038
16.0069
79.8893
80.2073
71.4189
79.3236
78.0083
78.5297
79.3443
33.8102
70.5457
79.6599
69.9692
22.5047
396.672
26.4184
73.3852
22.7241
23.3633
114.469
54.5772
63.6589
16.4494
34.836
timeout
timeout
timeout
timeout
267.866
108.356
217.718
306.952
