tuples,qdags,ghd,post mj,result
126856,770694,770694,43088,1.66509e+07478500
54593,464520,464520,14062,26781
23215,428790,428790,260566,541412
156838,1972546,1.97255e+06,359688,26721
38900,805178,805178,120912,32823
49886,747928,747928,142536,43327
768091,12731932,1.27319e+07,295554,26801
41143,851500,851500,186352,32743
444847,3381498,3.3815e+06,519374,26761
118310,2168596,2.1686e+06,16804,26781
49609,1005724,1.00572e+06,79302,45288
83809,1551248,1.55125e+06,67992,26821
82561,1076598,1.0766e+06,5.79577e+06,32925
110449,2136540,2.13654e+06,126610,32183
24613,458930,458930,23368,32723
125552,1507866,1.50787e+06,49270,27244
129488,2362518,2.36252e+06,54014,43367
59963,1246682,1.24668e+06,93614,44968
1165665,12309130,1.23091e+07,102126,26861
85794,896504,896504,453006,89608532
135459,1870030,1.87003e+06,4.27375e+06,3.66336e+09109705564
14767,201712,201712,4776,26741
462105,3590790,3.59079e+06,221990,31963
26677,392506,392506,7986,26801
207957,2478234,2.47823e+06,67204,61826320
1838411,14304772,1.43048e+07,1.93367e+06,26821
143243,2549118,2.54912e+06,26164,26741
32599,493060,493060,46878,26701
410848,2596320,2.59632e+06,853828,36285
35918,757800,757800,68890,26761
357537,3659364,3.65936e+06,55640,27322
149883,1433104,1.4331e+06,98554,26661
70601,1436050,1.43605e+06,140450,38085
408618,4156538,4.15654e+06,1.2142e+06,37846
40552,793580,793580,71604,26801
37210,775182,775182,89820,866823
839848,4592176,4.59218e+06,163060,14198365
453950,2696882,2.69688e+06,75964,43186448
53009,1019100,1.0191e+06,19464,26741
13567,289190,289190,35166,507810
46031,620918,620918,4836,26801
53347,1013434,1.01343e+06,88742,26721
119836,2350166,2.35017e+06,284482,26761
624395,3049804,3.0498e+06,389818,16388126
138071,1615514,1.61551e+06,84606,978461
262289,4430920,4.43092e+06,244364,868023
173450,1640396,1.6404e+06,69462,1852181272
49260,512462,512462,7556,1554665
23796,457312,457312,106064,32523
