tuples,qdags,ghd,post mj,result
434074,4105218,4.10522e+06,3.47432e+06,30606
70671,1253090,1.25309e+06,672534,25162
399329,4249596,4.2496e+06,2.57725e+06,342810
31771,475076,475076,158228,25423
534602,4613284,4.61328e+06,3.03857e+06,93076806
493058,4721460,4.72146e+06,3.78133e+06,633837
31857,412196,412196,198860,26204
642973,5536498,5.5365e+06,3.97313e+06,24881
159990,1279712,1.27971e+06,1.12813e+06,24881
47782,880300,880300,722128,14760113
91225,1441374,1.44137e+06,1.22613e+06,24881
14427,297662,297662,120194,25282
320851,1646684,1.64668e+06,1.57001e+06,31348
612018,4281252,4.28125e+06,3.73522e+06,25322
985108,6369820,6.36982e+06,6.4325e+06,24881
204479,1729574,1.72957e+06,1.33219e+06,24881
219818,1602322,1.60232e+06,1.22753e+06,24881
806166,2060150,2.06015e+06,1.32208e+06,24881
27560,443382,443382,200546,24881
90579,1534082,1.53408e+06,1.2553e+06,560026
166460,2616846,2.61685e+06,1.72513e+06,24882
195062,2624292,2.62429e+06,1.3866e+06,24881
194751,1678110,1.67811e+06,1.66475e+06,24442
190873,1787088,1.78709e+06,1.22746e+06,25322
442092,2983534,2.98353e+06,2.33836e+06,24881
116393,574026,574026,566962,550052
5819,81658,81658,37828,24881
83004,1081140,1.08114e+06,514750,24881
41054,594732,594732,434994,25723
1039299,8112002,8.112e+06,6.49303e+06,14182113
937489,6533968,6.53397e+06,6.48542e+06,24881
46687,849646,849646,763014,25302
178519,1814232,1.81423e+06,1.67878e+06,24962
13510,196526,196526,129740,24762202
4768,105984,105984,46818,24881
216251,1983922,1.98392e+06,1.13284e+06,25362
438905,3763366,3.76337e+06,3.62942e+06,24922
80877,930686,930686,781692,24881
55348,869998,869998,745422,24881
862831,11496208,1.14962e+07,1.05825e+07,391416
37523,828200,828200,436832,24881
881185,11472110,1.14721e+07,1.05943e+07,25282
699395,5005838,5.00584e+06,4.96195e+06,24881
46535,700648,700648,407998,24881
202700,1273338,1.27334e+06,837552,31027
659786,5583754,5.58375e+06,5.16339e+06,498023
178733,1992154,1.99215e+06,1.12163e+06,25964
26373,540426,540426,332590,25322
707643,5083162,5.08316e+06,4.96195e+06,24881
953217,6662358,6.66236e+06,6.48545e+06,25183
