tuples,qdags,ghd,post mj,result
26802,183548,183420,3448,1722
348430,1945094,1.94497e+06,181317,1745
515067,1826785,1.82666e+06,12714,1592
121567,896845,896717,11570,1849
100004,538619,538491,31231,7528
709677,2112819,2.11269e+06,36659,1891
123332,577338,577210,96705,2204
1030581,3643816,3.64369e+06,103934,3059
795826,2772709,2.77258e+06,3.18356e+06,1726
1025991,4457637,4.45751e+06,1.09545e+06,49551
238018,956452,956324,39293,6782
64098,467664,467536,19173,1570
171719,741676,741548,5111,1997
984462,2630522,2.63039e+06,1.36051e+06,14676
1041969,3317076,3.31695e+06,38507,1722
1062592,3114104,3.11398e+06,147733,15948
663115,1777647,1.77752e+06,723047,2980
1999575,7130454,7.13033e+06,4.01547e+06,3552
948844,3802331,3.8022e+06,2.45334e+06,1943
410629,2459215,2.45909e+06,46208,1921
437030,2343411,2.34328e+06,400316,1758
525754,1912937,1.91281e+06,33474,1721
106036,465450,465322,10770,2768
1106194,2985253,2.98512e+06,139043,1745
611491,2601553,2.60142e+06,1.11964e+06,6391
285393,1746677,1.74655e+06,93390,6090
904821,4017164,4.01704e+06,40288,1730
113177,605291,605163,57951,1722
226362,604859,604731,3919,1750
78298,469542,469414,21311,4385
757633,2806804,2.80668e+06,8234,11850
665462,2602610,2.60248e+06,50755,2671
156577,1019158,1.01903e+06,60149,2996
225692,1140735,1.14061e+06,128846,22700
66494,229225,229097,13128,1603
1057272,3069765,3.06964e+06,127616,127004
710008,231809541920225154,2.3181e+17,19457,1567
420311,1855650,1.85552e+06,6966,2083
1620089,6139522,6.13939e+06,1.17049e+06,2078
143847,796910,796782,8342,1720
709885,1507084,1.50696e+06,34717,2664
889519,4720806,4.72068e+06,13926,1983
313595,643489,643361,179333,4978
70756,320290,320162,5666,1763
377058,1741434,1.74131e+06,80863,3799
133800,723858,723730,33193,2038
269967,1170010,1.16988e+06,2430,1560
56254,295235,295107,4743,4836
524719,2280049,2.27992e+06,3.80987e+06,51943
1234103,3391246,3.39112e+06,57372,2236
