tuples,qdags,ghd,post mj,result
244047,1402325,1.4022e+06,12044,1613
736800,3102693,3.10256e+06,106986,1579
1388773,4695360,4.69523e+06,70476,1980
100349,688756,688628,109410,13823
962701,3337750,3.33762e+06,69755,29179
1038243,3315930,3.3158e+06,6903,1763
14862,83706,83578,24982,1775
563629,2045387,2.04526e+06,3338,1563
753432,2230917,2.23079e+06,39774,1766
119384,983188,983060,274543,31987
1151817,4658059,4.65793e+06,185617,1888
456275,1338940,1.33881e+06,47645,1722
135016,694908,694780,43058,6127
117008,519001,518873,19753,1994
347486,2636682,2.63655e+06,180572,1699
1725246,6941869,6.94174e+06,92484,1726
1029699,3035430,3.0353e+06,27074,2081
1082713,6962935,6.96281e+06,832831,1864
825866,4671804,4.67168e+06,181557,2615
915881,3564071,3.56394e+06,2613,1568
762395,3390370,3.39024e+06,144421,1727
378388,1460352,1.46022e+06,162101,2042
347388,2178136,2.17801e+06,51284,1765
277858,1098134,1.09801e+06,218770,159800
192592,1260792,1.26066e+06,11324,1794
390568,2340057,2.33993e+06,200835,1576
224677,1114669,1.11454e+06,30047,4302
36004,384896,384768,3207,2250
289278,1266563,1.26644e+06,663003,1597
322543,1990626,1.9905e+06,9567,2225
440941,2805996,2.80587e+06,84299,1725
1429066,5491393,5.49126e+06,2.59881e+06,1.70849e+06
577991,2117959,2.11783e+06,67243,1721
861039,3919579,3.91945e+06,1.58994e+06,1979
96015,555413,555285,2628,1672
183675,1789282,1.78915e+06,92800,5932
1529632,5850465,5.85034e+06,5.51656e+06,1909
36471,275149,275021,11796,2349
1493222,6933736,6.93361e+06,3.33874e+06,1582
447684,2020790,2.02066e+06,38318,2038
63327,366015,365887,16765,1723
584076,2605297,2.60517e+06,17825,1579
725505,2854436,2.85431e+06,5502,1566
527700,3267431,3.2673e+06,230551,1799
273393,2059201,2.05907e+06,26693,1719
633453,4914889,4.91476e+06,278163,3190
103397,444156,444028,22340,3915
165104,835237,835109,9701,1752
427430,1581135,1.58101e+06,16069,1719
64371,551356,551228,12477,1948
