tuples,qdags,ghd,post mj,result
167595,1204386,1.20439e+06,482212,25663
211815,2503774,2.50377e+06,421412,565252
15463,195904,195904,86730,24881
673461,4990294,4.99029e+06,683838,55610624044
598723,4506724,4.50672e+06,181234,25262
222537,2132314,2.13231e+06,331510,24881
69976,1049664,1.04966e+06,192676,29267
49253,461056,461056,135700,1047762419
139331,1911064,1.91106e+06,1.21438e+06,29565
189828,2277672,2.27767e+06,120412,25382
17335,108670,108670,15958,24881
1016069,11627480,1.16275e+07,153858,54166697
92817,1356576,1.35658e+06,341552,7238141
58286,401010,401010,376098,29606
211585,2452786,2.45279e+06,76542,26585
704695,5538244,5.53824e+06,66744,25302
201453,1574522,1.57452e+06,373410,28526
215119,2565732,2.56573e+06,805344,24881
929911,6537734,6.53773e+06,3.48266e+06,560630
16454,197476,197476,68894,24903
21158,176262,176262,20880,24881
113310,1327982,1.32798e+06,128504,30767
291240,3699726,3.69973e+06,457342,24881
94919,1411366,1.41137e+06,170080,24881
40841,277376,277376,117646,24881
1081653,7014214,7.01421e+06,3.06706e+06,819761490
200070,1474002,1.474e+06,666510,25663
13666,174506,174506,61054,404017
122578,1567358,1.56736e+06,378628,654042
1069859,4599958,4.59996e+06,613084,611236
8354,107500,107500,42128,25322
205508,2465818,2.46582e+06,546368,2415565110
588887,4633340,4.63334e+06,1.13995e+06,24881
527068,3030858,3.03086e+06,54198,401437
622108,3001086,3.00109e+06,153386,11430245
704377,5536324,5.53632e+06,60156,27928
38760,420792,420792,186304,24881
65857,896412,896412,333796,24881
247951,2978432,2.97843e+06,306348,24881
570521,3801296,3.8013e+06,96162,273619
319500,3072030,3.07203e+06,585068,25423
5373,96054,96054,57432,24881
307607,2257050,2.25705e+06,1.48804e+06,24881
141685,1421100,1.4211e+06,111200,28382534
830793,9060652,9.06065e+06,842394,82541821387
1600399,18449094,1.84491e+07,4.28347e+06,24881
94924,771616,771616,2.05984e+06,25803
221674,1742250,1.74225e+06,952716,898077
188712,1610784,1.61078e+06,154684,741093
112665,733644,733644,90688,26087

