tuples,qdags
126856,385832
54593,232780
23215,214843
156838,986732
38900,403349
49886,374376
768091,6366388
41143,426270
444847,1691221
118310,1084710
49609,503310
83809,776072
82561,538747
110449,1068996
24613,229949
125552,754502
129488,1181936
59963,623789
1165665,6155013
135459,935499
14767,101268
462105,1795915
26677,196773
207957,1239565
1838411,7152834
143243,1275007
32599,246942
410848,1298608
35918,379384
357537,1830083
149883,717036
70601,718510
408618,2078728
40552,397202
37210,388039
839848,2296536
453950,1348901
53009,509998
13567,145007
46031,310943
53347,507201
119836,1175531
624395,1525314
138071,808180
262289,2215872
173450,820682
49260,256643
23796,229104
