tuples,qdags,ghd,post mj,result
434074,2052937,2.05284e+06,1.7373e+06,1808
70671,626899,626803,336435,1559
399329,2125152,2.12506e+06,837331,2015
31771,237892,237796,14596,1572
534602,2306996,2.3069e+06,586488,46839
493058,2361084,2.36099e+06,1.89083e+06,3470
31857,206452,206356,118916,1611
642973,2768603,2.76851e+06,1.9867e+06,1545
159990,640174,640078,13360,1499
47782,440479,440383,69089,7681
91225,721041,720945,613231,1545
14427,149185,149089,60872,1565
320851,823660,823564,41464,1868
612018,2140980,2.14088e+06,1.86774e+06,1567
985108,3185228,3.18513e+06,60289,1545
204479,865141,865045,666225,1473
219818,801479,801383,613899,1545
806166,1030394,1.0303e+06,30542,5577
27560,222081,221985,107927,1545
90579,767359,767263,97399,3101
166460,1308752,1.30866e+06,96058,1545
195062,1312475,1.31238e+06,573618,1484
194751,839337,839241,31322,1513
190873,893862,893766,613863,1567
442092,1492121,1.49202e+06,311349,1511
116393,287320,287224,15267,3051
5819,41147,41051,159841,1545
83004,540924,540828,70993,1545
41054,297756,297660,217665,1587
1039299,4056319,4.05622e+06,3.24665e+06,7237
937489,3267338,3.26724e+06,3.24288e+06,1390
46687,425177,425081,39257,2202
178519,907434,907338,63556,1549
13510,98581,98485,175888,12527
4768,53346,53250,23577,1545
216251,992279,992183,44891,1569
438905,1882073,1.88198e+06,1.81488e+06,1547
80877,466104,466008,391421,1522
55348,435353,435257,372843,1546
862831,5748422,5.74833e+06,381224,2572
37523,414490,414394,218584,1545
881185,5736373,5.73628e+06,391848,1528
699395,2503309,2.50321e+06,2.48114e+06,1510
46535,350714,350618,124975,1487
202700,637023,636927,27865,1852
659786,2792267,2.79217e+06,2.58186e+06,2648
178733,996431,996335,425096,1599
26373,270603,270507,36812,1567
707643,2541935,2.54184e+06,2.48111e+06,1545
953217,3331569,3.33147e+06,3.24289e+06,1405
