tuples,qdags,ghd size,tuples per node,post mj size,post mj results,result size,number of results
434074,4106262,4106262,(12184-421890),460292,(12184-5353),3466,6
70671,1254126,1254126,(29244-41427),583676,(29244-403),2938,2
399329,4250622,4250622,(1193-398136),296684,(1193-6819),3826,10
31771,476094,476094,(17378-14393),158900,(17378-64),2938,3
534602,4614318,4614318,(38043-496559),2237948,(38043-38458),93466,806
493058,4722510,4722510,(41188-451870),541292,(41188-459),6754,37
31857,413238,413238,(2153-29704),41468,(2153-8),2938,4
642973,5537526,5537526,(2880-640093),446036,(2880-10087),2938,1
159990,1280718,1280718,(9903-150087),137732,(9903-2),2938,1
47782,881334,881334,(37083-10699),722852,(37083-156),15154,113
91225,1442382,1442382,(27510-63715),175460,(27510-11),2938,1
14427,298734,298734,(5490-8937),120860,(5490-24),2938,2
320851,1647678,1647678,(1070-319781),25364,(1070-149),3442,8
612018,4282302,4282302,(20330-591688),356996,(20330-366),2938,2
985108,6370854,6370854,(5504-979604),63332,(5504-1),2938,1
204479,1730646,1730646,(2514-201965),904316,(2514-49400),2938,1
219818,1603374,1603374,(1263-218555),63380,(1263-1057),2938,1
806166,2061198,2061198,(742859-63307),1322780,(742859-408),2938,1
27560,444438,444438,(1622-25938),37412,(1622-45),2938,1
90579,1535142,1535142,(64780-25799),1256036,(64780-26),5986,26
166460,2617878,2617878,(86561-79899),1725812,(86561-726),2938,2
195062,2625342,2625342,(4222-190840),697340,(4222-14649),2938,1
194751,1679118,1679118,(3832-190919),49180,(3832-2),2834,2
190873,1788126,1788126,(44577-146296),391604,(44577-9),2938,2
442092,2984550,2984550,(1298-440794),66836,(1298-814),2938,1
116393,575046,575046,(108761-7632),567644,(108761-2674),5890,52
5819,82734,82734,(2906-2913),38540,(2906-136),2938,1
83004,1082190,1082190,(39978-43026),515444,(39978-52),2938,1
41054,595806,595806,(5490-35564),122852,(5490-65),2938,3
1039299,8113062,8113062,(1742-1037557),528212,(1742-13099),14554,113
937489,6534990,6534990,(1426-936063),36860,(1426-423),2938,1
46687,850686,850686,(39455-7232),763772,(39455-2),2938,2
178519,1815246,1815246,(1696-176823),23828,(1696-7),2938,2
13510,197574,197574,(2956-10554),94268,(2956-522),25186,202
4768,107022,107022,(1138-3630),33116,(1138-127),2938,1
216251,1984950,1984950,(62458-153793),786332,(62458-178),2938,2
438905,3764406,3764406,(2474-436431),139076,(2474-1699),2938,2
80877,931734,931734,(6919-73958),105476,(6919-51),2938,1
55348,871038,871038,(3196-52152),85172,(3196-131),2938,1
862831,11497230,11497230,(796428-66403),10583156,(796428-246),4282,16
37523,829230,829230,(17211-20312),375020,(17211-6),2938,1
881185,11473134,11473134,(796428-84757),10594964,(796428-355),2938,2
699395,5006862,5006862,(1557-697838),37028,(1557-114),2938,1
46535,701670,701670,(3237-43298),134876,(3237-2094),2938,1
202700,1274382,1274382,(19897-182803),410444,(19897-320),3466,7
659786,5584782,5584782,(3087-656699),215228,(3087-4430),5338,23
178733,1993206,1993206,(2678-176055),108596,(2678-1565),2938,4
26373,541470,541470,(17210-9163),333284,(17210-38),2938,2
707643,5084190,5084190,(7514-700129),100100,(7514-6),2938,1
953217,6663390,6663390,(18197-935020),190844,(18197-778),2938,3
