tuples,qdags
434074,2052937
70671,626899
399329,2125152
31771,237892
534602,2306996
493058,2361084
31857,206452
642973,2768603
159990,640174
47782,440479
91225,721041
14427,149185
320851,823660
612018,2140980
985108,3185228
204479,865141
219818,801479
806166,1030394
27560,222081
90579,767359
166460,1308752
195062,1312475
194751,839337
190873,893862
442092,1492121
116393,287320
5819,41147
83004,540924
41054,297756
1039299,4056319
937489,3267338
46687,425177
178519,907434
13510,98581
4768,53346
216251,992279
438905,1882073
80877,466104
55348,435353
862831,5748422
37523,414490
881185,5736373
699395,2503309
46535,350714
202700,637023
659786,2792267
178733,996431
26373,270603
707643,2541935
953217,3331569
