tuples,qdags,ghd size,tuples per node,post mj size,post mj results,result size,number of results
126856,772088,772088,(103506-23350),43812,(2808-202),16651290,478500
54593,465920,465920,(47009-7584),14820,(162-3),3138,1
23215,430208,430208,(17141-6074),261228,(5709-24),5802,12
156838,1973912,1973912,(11390-145448),360396,(11-12789),3138,1
38900,806552,806552,(31123-7777),121620,(2168-82),3738,3
49886,749312,749312,(29357-20529),143196,(4490-22),4794,7
768091,12733328,12733328,(280133-487958),296316,(1-5249),3138,1
41143,852896,852896,(20604-20539),187092,(3594-10),3738,3
444847,3382880,3382880,(353923-90924),520020,(9442-2312),3138,1
118310,2169968,2169968,(32755-85555),17604,(1-226),3138,1
49609,1007144,1007144,(31338-18271),79956,(439-998),4890,8
83809,1552664,1552664,(15067-68742),68628,(103-1238),3138,1
82561,1077968,1077968,(10221-72340),5796516,(9-207106),3714,5
110449,2137880,2137880,(75016-35433),127308,(1184-1225),3666,3
24613,460280,460280,(5039-19574),24036,(5-414),3738,3
125552,1509272,1509272,(101934-23618),49932,(2040-70),3186,4
129488,2363888,2363888,(125655-3833),54684,(666-253),4794,7
59963,1248080,1248080,(22066-37897),94308,(647-1095),4866,8
1165665,12310496,12310496,(398724-766941),102804,(2075-326),3138,1
85794,897872,897872,(73627-12167),453636,(13310-600),89994,532
135459,1871408,1871408,(124952-10507),4274436,(142898-12320),3663357114,109705564
14767,203120,203120,(9972-4795),5508,(8-1),3138,1
462105,3592184,3592184,(128665-333440),222660,(2182-4813),3642,3
26677,393896,393896,(13073-13604),8724,(10-68),3138,1
207957,2479592,2479592,(31345-176612),67884,(384-2111),62202,320
1838411,14306192,14306192,(547876-1290535),1934340,(4074-70970),3138,1
143243,2550536,2550536,(71441-71802),26916,(398-1),3138,1
32599,494456,494456,(23700-8899),47628,(929-1),3138,1
410848,2597720,2597720,(49270-361578),854604,(1-20242),4074,5
35918,759176,759176,(23756-12162),69564,(1249-15),3138,1
357537,3660704,3660704,(46834-310703),56340,(657-759),3138,2
149883,1434464,1434464,(138688-11195),99228,(129-1871),3138,1
70601,1437440,1437440,(64423-6178),141156,(2995-52),4266,5
408618,4157888,4157888,(117493-291125),1214964,(1-83130),4218,6
40552,794984,794984,(18197-22355),72348,(969-249),3138,1
37210,776552,776552,(7947-29263),90468,(179-1440),9114,23
839848,4593536,4593536,(4759-835089),163764,(150-4917),14562,365
453950,2698256,2698256,(318908-135042),76668,(2394-709),43554,448
53009,1020488,1020488,(23925-29084),20100,(80-210),3138,1
13567,290600,290600,(10643-2924),35796,(192-342),5442,10
46031,622280,622280,(32937-13094),5508,(6-6),3138,1
53347,1014848,1014848,(17794-35553),89364,(7-1470),3138,1
119836,2351528,2351528,(7086-112750),285156,(45-5296),3138,1
624395,3051200,3051200,(14052-610343),390516,(42-34446),16746,126
138071,1616912,1616912,(23297-114774),85308,(126-1806),10218,61
262289,4432328,4432328,(5893-256396),245028,(37-5791),9138,23
173450,1641752,1641752,(103669-69781),70116,(195-2805),185586,1272
49260,513848,513848,(41137-8123),8292,(58-5),15954,65
23796,458696,458696,(16507-7289),106764,(2149-91),3714,3
