tuples,qdags,ghd size,tuples per node,post mj size,post mj results,result size,number of results
26802,367496,367496,(4259-22543),5916,(4-13),3138,1
348430,3890768,3890768,(161191-187239),57132,(1-1795),3138,1
515067,3653984,3653984,(90759-424308),23076,(260-185),3138,1
121567,1794176,1794176,(15835-105732),16452,(245-28),3210,12
100004,1077632,1077632,(70102-29902),66204,(1715-1427),14346,476
709677,4226120,4226120,(514589-195088),109716,(4267-117),3402,6
123332,1155080,1155080,(8118-115214),694380,(1-51606),3138,2
1030581,7288088,7288088,(453286-577295),32484,(18-644),6042,18
795826,5545904,5545904,(265024-530802),2349636,(1-79771),3138,1
1025991,8915816,8915816,(374652-651339),79188,(385-2258),98994,7161
238018,1913072,1913072,(4658-233360),198276,(1-11172),12594,87
64098,935720,935720,(59556-4542),6084,(2-18),3138,1
171719,1483832,1483832,(51692-120027),12252,(50-346),3138,1
984462,5261600,5261600,(560463-423999),45612,(2595-400),29010,2323
1041969,6634592,6634592,(701066-340903),676428,(1376-57495),3138,4
1062592,6228704,6228704,(18358-1044234),5867532,(2553-517822),31554,250
663115,3555848,3555848,(54841-608274),676116,(24476-7),5874,21
1999575,14261432,14261432,(976304-1023271),2767908,(423809-96),6954,97
948844,7605128,7605128,(630085-318759),21636,(140-193),3642,4
410629,4918928,4918928,(223852-186777),9300,(3-74),3498,3
437030,4687232,4687232,(432326-4704),1231500,(90104-1),3138,2
525754,3826352,3826352,(201787-323967),15036,(15-507),3138,1
106036,931328,931328,(27121-78915),18996,(344-20),5178,24
1106194,5970968,5970968,(1051658-54536),108252,(3999-394),3162,6
611491,5169704,5169704,(349300-262191),1191636,(23791-34906),12066,128
285393,3493784,3493784,(36356-249037),24396,(13-419),3138,1
904821,8034848,8034848,(63885-840936),95988,(1701-1610),3138,2
113177,1211096,1211096,(37167-76010),127308,(1-3770),3138,1
226362,1210184,1210184,(103582-122780),72204,(2998-5),3186,4
78298,939536,939536,(60583-17715),34908,(552-313),8394,29
757633,5614088,5614088,(76090-681543),10650492,(391-672511),23634,150
665462,5205752,5205752,(73761-591701),303156,(7239-4107),3138,1
156577,2038760,2038760,(5663-150914),57300,(67-1246),3138,1
225692,2281928,2281928,(35003-190689),67596,(248-2514),45042,248
66494,458936,458936,(53613-12881),28284,(4-665),3138,2
1057272,6140096,6140096,(521922-535350),106740,(2655-1372),253650,2655
710008,6324608,6324608,(585842-124166),10620,(7-110),3138,1
420311,3711488,3711488,(414388-5923),31212,(783-241),4122,9
1620089,12279584,12279584,(1032517-587572),1234308,(51659-1642),3690,3
143847,1594304,1594304,(133949-9898),8052,(22-36),3138,1
709885,3014576,3014576,(383707-326178),348612,(12547-579),3522,4
889519,9442208,9442208,(781353-108166),169332,(4969-9),3618,4
313595,1287512,1287512,(282890-30705),117660,(6001-1959),9906,71
70756,641000,641000,(7823-62933),21828,(1-343),3186,4
377058,3483296,3483296,(191749-185309),47220,(1029-395),7218,26
133800,1448216,1448216,(27026-106774),6828,(41-4),3138,1
269967,2340456,2340456,(226040-43927),11804,(195-1),3034,1
56254,590912,590912,(3859-52395),279468,(3-17247),7410,76
524719,4560344,4560344,(4016-520703),73692,(3-1840),103770,704
1234103,6783080,6783080,(189869-1044234),5921148,(3983-517349),4386,9
