tuples,qdags,ghd size,tuples per node,post mj size,post mj results,result size,number of results
244047,2805200,2805200,(222882-21165),24492,(336-115),3138,4
736800,6205856,6205856,(41090-695710),208164,(2-4626),3138,1
1388773,9391136,9391136,(972090-416683),141372,(1956-1150),3642,3
100349,1377968,1377968,(3748-96601),218964,(415-5155),3138,1
962701,6676088,6676088,(21283-941418),139644,(4998-1870),55170,688
1038243,6632264,6632264,(980157-58086),14220,(153-67),3138,2
14862,167672,167672,(6043-8819),50364,(1487-5),3138,3
563629,4091384,4091384,(555542-8087),7044,(28-15),3138,1
753432,4462328,4462328,(134611-618821),80004,(2-1776),3138,2
119384,1966832,1966832,(28472-90912),549492,(611-11709),63618,250
1151817,9316616,9316616,(573020-578797),371628,(7582-634),3138,1
456275,2678360,2678360,(5715-450560),95772,(2-2810),3138,1
135016,1390256,1390256,(12621-122395),86436,(605-938),10026,31
117008,1038464,1038464,(23676-93332),39972,(21-1074),3642,6
347486,5273720,5273720,(116964-230522),361524,(8142-1457),3138,1
1725246,13884248,13884248,(604803-1120443),43140,(1881-5),3138,2
1029699,6071312,6071312,(911345-118354),54564,(230-1055),3834,7
1082713,13926368,13926368,(552187-530526),1666068,(86594-167),3666,3
825866,9344168,9344168,(37168-788698),363516,(46-8812),5106,14
915881,7128632,7128632,(785125-130756),5724,(1-14),3138,1
762395,6781112,6781112,(728758-33637),289212,(6570-71),3138,1
378388,2921240,2921240,(242541-135847),324588,(8221-6),3138,1
347388,4356680,4356680,(6131-341257),81012,(7-1772),3138,1
277858,2196752,2196752,(121882-155976),437964,(15242-5589),319218,5943
192592,2522072,2522072,(53874-138718),23052,(57-353),3138,1
390568,4680512,4680512,(107770-282798),402156,(14685-1),3138,1
224677,2229752,2229752,(40273-184404),60492,(1731-46),3138,2
36004,770360,770360,(2683-33321),6900,(1-49),3138,1
289278,2533568,2533568,(63802-225476),1326492,(2-68582),3138,1
322543,3981704,3981704,(236368-86175),19404,(43-286),3138,2
440941,5612432,5612432,(159310-281631),169068,(3532-1),3138,1
1429066,10983272,10983272,(665022-764044),5198004,(81344-186542),3416586,58147
577991,4236344,4236344,(4366-573625),134916,(3-5206),3138,1
861039,7839632,7839632,(179625-681414),3180300,(488-145940),3642,3
96015,1111280,1111280,(86612-9403),5604,(9-8),3138,1
183675,3578936,3578936,(63387-120288),186012,(338-2816),11754,34
1529632,11701400,11701400,(136569-1393063),11033508,(15-701971),3666,3
36471,550856,550856,(3641-32830),23964,(662-39),4650,13
1493222,13868048,13868048,(243824-1249398),6677940,(66-299269),3138,1
447684,4042040,4042040,(11958-435726),76716,(47-2018),3138,1
63327,732464,732464,(4467-58860),33948,(7-771),3138,1
584076,5210816,5210816,(444298-139778),36132,(804-25),3138,1
725505,5709296,5709296,(698842-26663),11388,(42-134),3138,2
527700,6535376,6535376,(245516-282184),461532,(16261-44),3138,1
273393,4118888,4118888,(28032-245361),53796,(961-58),3138,1
633453,9830288,9830288,(94084-539369),555252,(1124-9842),3138,2
103397,888896,888896,(74974-28423),45084,(1808-656),7482,48
165104,1670888,1670888,(84328-80776),19836,(123-183),3138,2
427430,3162752,3162752,(325605-101825),32316,(1-829),3138,1
64371,1103240,1103240,(48417-15954),25308,(344-41),3570,4
