tuples,qdags,ghd,post mj,result
101478,476575,476479,26659,1590
3679,22111,22015,155594,8505
51253,367571,367475,90419,37289
281911,1618204,1.61811e+06,1.04155e+06,33727
9160,90095,89999,51974,1545
6980,58449,58353,22688,1465
15932,117583,117487,74984,1545
15099,117592,117496,72694,1570
91985,224805,224709,19914,1545
7482,66986,66890,22456,1545
421362,2540168,2.54007e+06,1.01153e+06,1553
326868,1199985,1.19989e+06,383659,2616
32074,197481,197385,22387,4246
20042,121162,121066,135379,2526
18363,170640,170544,119335,1619
209047,1462194,1.4621e+06,857062,1569
15124,134906,134810,58723,1585
124076,431575,431479,388344,1545
15908,65431,65335,9228,1545
36404,224951,224855,180458,1840
90741,406622,406526,333631,1499
193818,614831,614735,419207,1699
99981,820190,820094,777651,28367
34845,312436,312340,100363,5899
339367,2477821,2.47772e+06,236700,31448
6303,64926,64830,26908,296349
1161622,4291322,4.29123e+06,2.72999e+06,1436
40826,270263,270167,46936,1570
9499,107051,106955,50875,1545
48108,459766,459670,286890,2614
178914,852839,852743,16989,2338
26576,253529,253433,199705,2402
54123,314685,314589,263831,1390
24926,222528,222432,64403,10302
37411,144166,144070,112753,1961
98381,622392,622296,348916,1391
159727,900073,899977,109887,1545
88132,357388,357292,328619,1570
79761,495418,495322,348893,1390
455642,2121216,2.12112e+06,2.05984e+06,7.20758e+07
11217,118268,118172,57491,10447
145550,542647,542551,419128,1545
20945,112640,112544,22697,1646
38436,390312,390216,16503,1390
32548,338611,338515,36362,3261
13357,113739,113643,82565,17005
10733,105032,104936,23578,1799
83018,333040,332944,247413,1564
18276,103088,102992,152207,710917
36828,394643,394547,101908,2338
