tuples,qdags,ghd,post mj,result
26802,183548,183420,10192,1722
348430,1945094,1.94497e+06,15011,1639
515067,1826785,1.82666e+06,3700,1724
121567,896845,896717,3870,1765
100004,538619,538491,71893,8164
709677,2112819,2.11269e+06,37472,2742
123332,577338,577210,281753,1570
1030581,3643816,3.64369e+06,90935,3298
795826,2772709,2.77258e+06,512506,1690
1025991,4457637,4.45751e+06,214158,49564
238018,956452,956324,25300,6420
64098,467664,467536,3903,1725
171719,741676,741548,29615,1720
984462,2630522,2.63039e+06,38706,14676
1041969,3317076,3.31695e+06,30088,1686
1062592,3114104,3.11398e+06,145860,15948
663115,1777647,1.77752e+06,2.3607e+06,3210
1999575,7130454,7.13033e+06,7.24948e+06,3658
948844,3802331,3.8022e+06,111522,1872
410629,2459215,2.45909e+06,5788,1921
437030,2343411,2.34328e+06,5911,1915
525754,1912937,1.91281e+06,3171,1722
106036,465450,465322,3792,2768
1106194,2985253,2.98512e+06,163656,1819
611491,2601553,2.60142e+06,803648,6283
285393,1746677,1.74655e+06,121117,1578
904821,4017164,4.01704e+06,59616,1575
113177,605291,605163,21214,1697
226362,604859,604731,3317,1869
78298,469542,469414,56386,4385
757633,2806804,2.80668e+06,3.85832e+06,11995
665462,2602610,2.60248e+06,88584,1721
156577,1019158,1.01903e+06,42497,1724
225692,1140735,1.14061e+06,17065,22689
66494,229225,229097,10072,2719
1057272,3069765,3.06964e+06,2.95043e+06,126860
710008,231809541920225154,2.3181e+17,27172,1722
420311,1855650,1.85552e+06,10620,2347
1620089,6139522,6.13939e+06,829130,2078
143847,796910,796782,114926,1877
709885,1507084,1.50696e+06,107432,2231
889519,4720806,4.72068e+06,955102,1829
313595,643489,643361,109791,4977
70756,320290,320162,3067,2281
377058,1741434,1.74131e+06,84552,3799
133800,723858,723730,461193,1785
269967,1170010,1.16988e+06,10501,1671
56254,295235,295107,7111,3886
524719,2280049,2.27992e+06,39579,52077
1234103,3391246,3.39112e+06,58051,2226
