tuples,qdags,ghd size,tuples per node,post mj size,post mj results,result size,number of results
167595,1205382,1205382,(20034-147561),232724,(20034-369),2938,3
211815,2504814,2504814,(9641-202174),3966860,(9641-207622),5986,52
15463,196950,196950,(3431-12032),87452,(3431-946),2938,1
673461,4991334,4991334,(6578-666883),1996556,(6578-170442),556498,24044
598723,4507782,4507782,(7467-591256),160076,(7467-4617),2938,2
222537,2133390,2133390,(184717-37820),1768892,(184717-1),2938,1
69976,1050678,1050678,(3084-66892),59324,(3084-158),3298,7
49253,462102,462102,(9948-39305),293132,(9948-9954),105130,2419
139331,1912086,1912086,(59318-80013),1215044,(59318-372),3370,5
189828,2278686,2278686,(8220-181608),592244,(8220-26867),2938,2
17335,109710,109710,(2366-14969),18692,(2366-1),2938,1
1016069,11628534,11628534,(11019-1005050),154556,(11019-1150),54538,697
92817,1357614,1357614,(3383-89434),3267308,(3383-386527),7618,141
58286,402054,402054,(1228-57058),179084,(1228-6629),3346,6
211585,2453814,2453814,(5228-206357),77252,(5228-5),3010,5
704695,5539302,5539302,(696532-8163),5593412,(696532-4654),2938,2
201453,1575582,1575582,(45953-155500),374108,(45953-539),3274,6
215119,2566782,2566782,(76405-138714),806108,(76405-1),2938,1
929911,6538782,6538782,(402745-527166),3483356,(402745-201),5962,30
16454,198510,198510,(9975-6479),118556,(9975-1),2938,3
21158,177270,177270,(1443-19715),25820,(1443-2),2938,1
113310,1329030,1329030,(6578-106732),129212,(6578-42),3442,7
291240,3700806,3700806,(3103-288137),103028,(3103-3669),2938,1
94919,1412430,1412430,(14242-80677),170852,(14242-1),2938,1
40841,278406,278406,(1923-38918),33044,(1923-7),2938,1
1081653,7015254,7015254,(554525-527128),4013348,(554525-1490),82354,1490
200070,1475022,1475022,(105999-94071),489188,(105999-1255),2938,3
13666,175566,175566,(2123-11543),61748,(2123-672),4426,17
122578,1568382,1568382,(16941-105637),379292,(16941-185),6922,42
1069859,4600998,4600998,(866243-203616),4088948,(866243-15373),6466,36
8354,108558,108558,(1031-7323),21332,(1031-2),2938,2
205508,2466870,2466870,(3334-202174),3928916,(3334-207622),241906,5110
588887,4634406,4634406,(50141-538746),646172,(50141-16),2938,1
527068,3031926,3031926,(5970-521098),54908,(5970-37),4378,37
622108,3002118,3002118,(12409-609699),154076,(12409-251),11818,245
704377,5537382,5537382,(696532-7845),5431436,(696532-8),3154,8
38760,421806,421806,(17695-21065),187052,(17695-1),2938,1
65857,897462,897462,(5079-60778),116348,(5079-51),2938,1
247951,2979462,2979462,(5441-242510),103124,(5441-13),2938,1
570521,3802326,3802326,(9333-561188),96836,(9333-20),3058,19
319500,3073062,3073062,(5278-314222),87788,(5278-255),2938,3
5373,97110,97110,(3103-2270),58484,(3103-1),2938,1
307607,2258094,2258094,(99495-208112),1488668,(99495-15),2938,1
141685,1422126,1422126,(133362-8323),1317092,(133362-534),28762,534
830793,9061686,9061686,(771676-59117),8247716,(771676-2625),825778,21387
1600399,18450102,18450102,(949234-651165),14052428,(949234-21048),2938,1
94924,772662,772662,(7635-87289),2060516,(7635-141787),2938,3
221674,1743294,1743294,(99151-122523),953420,(99151-140),9370,77
188712,1611846,1611846,(18318-170394),155372,(18318-93),7786,93
112665,734694,734694,(89680-22985),5765564,(89680-1763404),3034,7
