tuples,qdags,ghd,post mj,result,number of results
26802,367496,367496,7332,3138,1
348430,3890768,3.89077e+06,362964,3138,1
515067,3653984,3.65398e+06,25788,3138,1
121567,1794176,1.79418e+06,23556,3210,12
100004,1077632,1.07763e+06,62892,14346,476
709677,4226120,4.22612e+06,73716,3402,6
123332,1155080,1.15508e+06,193908,3138,2
1030581,7288088,7.28809e+06,208332,6042,18
795826,5545904,5.5459e+06,6.36752e+06,3138,1
1025991,8915816,8.91582e+06,2.19133e+06,98994,7161
238018,1913072,1.91307e+06,78996,12594,87
64098,935720,935720,38748,3138,1
171719,1483832,1.48383e+06,10644,3138,1
984462,5261600,5.2616e+06,2.72144e+06,29010,2323
1041969,6634592,6.63459e+06,77436,3138,4
1062592,6228704,6.2287e+06,295836,31554,250
663115,3555848,3.55585e+06,1.44649e+06,5874,21
1999575,14261432,1.42614e+07,8.03137e+06,6954,97
948844,7605128,7.60513e+06,4.9071e+06,3642,4
410629,4918928,4.91893e+06,92820,3498,3
437030,4687232,4.68723e+06,773052,3138,2
525754,3826352,3.82635e+06,67356,3138,1
106036,931328,931328,21948,5178,24
1106194,5970968,5.97097e+06,278508,3162,6
611491,5169704,5.1697e+06,2.23967e+06,12066,128
285393,3493784,3.49378e+06,186732,3138,1
904821,8034848,8.03485e+06,80988,3138,2
113177,1211096,1.2111e+06,115500,3138,1
226362,1210184,1.21018e+06,8292,3186,4
78298,939536,939536,43020,8394,29
757633,5614088,5.61409e+06,16860,23634,150
665462,5205752,5.20575e+06,101940,3138,1
156577,2038760,2.03876e+06,119100,3138,1
225692,2281928,2.28193e+06,258084,45042,248
66494,458936,458936,26748,3138,2
1057272,6140096,6.1401e+06,98460,253650,2655
710008,6324608,6.32461e+06,39396,3138,1
420311,3711488,3.71149e+06,14364,4122,9
1620089,12279584,1.22796e+07,2.34133e+06,3690,3
143847,1594304,1.5943e+06,17148,3138,1
709885,3014576,3.01458e+06,69828,3522,4
889519,9442208,9.44221e+06,28236,3618,4
313595,1287512,1.28751e+06,359076,9906,71
70756,641000,641000,11820,3186,4
377058,3483296,3.4833e+06,162132,7218,26
133800,1448216,1.44822e+06,66804,3138,1
269967,2340456,2.34046e+06,5300,3034,1
56254,590912,590912,9924,7410,76
524719,4560344,4.56034e+06,7.62016e+06,103770,704
1234103,6783080,6.78308e+06,115188,4386,9
