tuples,qdags,ghd size,tuples per node,post mj size,post mj results,result size,number of results
167595,1205382,1205382,(102306-65289),510524,(102306-25),2938,3
211815,2504814,2504814,(30037-181778),422108,(30037-769),5986,52
15463,196950,196950,(2084-13379),35252,(2084-35),2938,1
673461,4991334,4991334,(92123-581338),684524,(92123-2371),556498,24044
598723,4507782,4507782,(16496-582227),181916,(16496-404),2938,2
222537,2133390,2133390,(3869-218668),75908,(3869-543),2938,1
69976,1050678,1050678,(54760-15216),839780,(54760-4),3298,7
49253,462102,462102,(19271-29982),136412,(19271-7),105130,2419
139331,1912086,1912086,(75520-63811),639956,(75520-65),3370,5
189828,2278686,2278686,(9471-180357),121028,(9471-9),2938,2
17335,109710,109710,(3207-14128),16652,(3207-100),2938,1
1016069,11628534,11628534,(7899-1008170),332108,(7899-9005),54538,697
92817,1357614,1357614,(4534-88283),342236,(4534-15219),7618,141
58286,402054,402054,(11177-47109),376796,(11177-13129),3346,6
211585,2453814,2453814,(3830-207755),79604,(3830-996),3010,5
704695,5539302,5539302,(4843-699852),67508,(4843-2),2938,2
201453,1575582,1575582,(149063-52390),1127900,(149063-3),3274,6
215119,2566782,2566782,(84900-130219),2256164,(84900-53841),2938,1
929911,6538782,6538782,(8307-921604),143732,(8307-968),5962,30
16454,198510,198510,(4779-11675),69596,(4779-429),2938,3
21158,177270,177270,(1915-19243),21548,(1915-254),2938,1
113310,1329030,1329030,(3300-110010),166028,(3300-3397),3442,7
291240,3700806,3700806,(49531-241709),458036,(49531-313),2938,1
94919,1412430,1412430,(69658-25261),1167740,(69658-1437),2938,1
40841,278406,278406,(28957-11884),136292,(28957-27),2938,1
1081653,7015254,7015254,(1753-1079900),579020,(1753-29811),82354,1490
200070,1475022,1475022,(69804-130266),667172,(69804-15),2938,3
13666,175566,175566,(1595-12071),40940,(1595-144),4426,17
122578,1568382,1568382,(2205-120373),644588,(2205-21576),6922,42
1069859,4600998,4600998,(12000-1057859),259700,(12000-454),6466,36
8354,108558,108558,(2820-5534),42836,(2820-269),2938,2
205508,2466870,2466870,(30037-175471),547052,(30037-5923),241906,5110
588887,4634406,4634406,(69658-519229),1140644,(69658-58),2938,1
527068,3031926,3031926,(2239-524829),26780,(2239-661),4378,37
622108,3002118,3002118,(2521-619587),1933412,(2521-171464),11818,245
704377,5537382,5537382,(3342-701035),84140,(3342-856),3154,8
38760,421806,421806,(1031-37729),545180,(1031-34922),2938,1
65857,897462,897462,(18462-47395),334508,(18462-177),2938,1
247951,2979462,2979462,(221689-26262),2618060,(221689-851),2938,1
570521,3802326,3802326,(558667-11854),3695540,(558667-330),3058,19
319500,3073062,3073062,(7442-312058),585764,(7442-21584),2938,3
5373,97110,97110,(1231-4142),58124,(1231-871),2938,1
307607,2258094,2258094,(16496-291111),194588,(16496-600),2938,1
141685,1422126,1422126,(5158-136527),111908,(5158-1292),28762,534
830793,9061686,9061686,(4357-826436),584780,(4357-25687),825778,21387
1600399,18450102,18450102,(76405-1523994),1485380,(76405-16135),2938,1
94924,772662,772662,(5296-89628),50948,(5296-7),2938,3
221674,1743294,1743294,(3535-218139),129380,(3535-2982),9370,77
188712,1611846,1611846,(7048-181664),48212,(7048-17),7786,93
112665,734694,734694,(6272-106393),18236,(6272-1),3034,7
