tuples,qdags,ghd size,tuples per node,post mj size,post mj results,result size,number of results
101478,953550,953550,(2913-98565),53756,(2913-4),2938,3
3679,44646,44646,(1295-2384),16676,(1295-41),16762,510
51253,735558,735558,(5083-46170),181268,(5083-1762),74338,1085
281911,3236742,3236742,(172137-109774),2083532,(172137-5683),67234,3633
9160,180534,180534,(4225-4935),104372,(4225-5),2938,1
6980,115974,115974,(2464-4516),45068,(2464-423),2938,4
15932,235398,235398,(10079-5853),150404,(10079-1),2938,1
15099,235518,235518,(8617-6482),145892,(8617-2),2938,2
91985,449958,449958,(2962-89023),40340,(2962-1),2938,1
7482,134310,134310,(1691-5791),45332,(1691-2),2938,1
421362,5080734,5080734,(172137-249225),2023484,(172137-11),2938,2
326868,2400390,2400390,(191616-135252),724196,(191616-2778),5002,29
32074,395382,395382,(1788-30286),44900,(1788-213),2938,1
20042,242670,242670,(14242-5800),271196,(14242-3232),4834,39
18363,341310,341310,(14140-4223),238724,(14140-8),2938,4
209047,2924766,2924766,(146168-62879),1714556,(146168-4),2938,2
15124,270126,270126,(6240-8884),117836,(6240-17),2962,8
124076,863478,863478,(118988-5088),777116,(118988-1),2938,1
15908,131166,131166,(1107-14801),18956,(1107-1),2938,1
36404,450318,450318,(27238-9166),361436,(27238-2),3466,10
90741,813654,813654,(81993-8748),667748,(81993-1),2938,1
193818,1229934,1229934,(124133-69685),838748,(124133-6),3490,18
99981,1640718,1640718,(92405-7576),1555700,(92405-1436),56506,507
34845,625254,625254,(10395-24450),201140,(10395-445),11530,80
339367,4955910,4955910,(10557-328810),473708,(10557-4343),62674,486
6303,130182,130182,(2692-3611),54284,(2692-3),2938,2
1161622,8583054,8583054,(696532-465090),5460428,(696532-576),2938,1
40826,540942,540942,(5897-34929),94340,(5897-9),2938,2
9499,214494,214494,(4867-4632),102116,(4867-7),2938,1
48108,919782,919782,(29244-18864),574148,(29244-59),5098,20
178914,1706094,1706094,(1458-177456),34436,(1458-28),2938,1
26576,507486,507486,(21287-5289),399836,(21287-77),4522,16
54123,629766,629766,(47693-6430),528164,(47693-1),2938,1
24926,445326,445326,(3551-21375),129164,(3551-1171),20338,172
37411,288678,288678,(33133-4278),225932,(33133-1),3730,29
98381,1245102,1245102,(59193-39188),698228,(59193-4),2938,1
159727,1800486,1800486,(21778-137949),220148,(21778-144),2938,1
88132,715110,715110,(84996-3136),657668,(84996-206),2938,2
79761,991182,991182,(59193-20568),698228,(59193-1),2938,1
455642,4242822,4242822,(414046-41596),4120076,(414046-32825),144151642,10141700
11217,236790,236790,(3884-7333),115316,(3884-435),18634,131
145550,1085670,1085670,(124133-21417),838748,(124133-1),2938,1
20945,225678,225678,(4293-16652),45908,(4293-2),3058,6
38436,781014,781014,(1403-37033),33428,(1403-3),2938,1
32548,677574,677574,(1640-30908),73124,(1640-490),2938,1
13357,227838,227838,(10079-3278),165452,(10079-264),33730,264
10733,210342,210342,(1322-9411),47492,(1322-343),3394,6
83018,666462,666462,(66294-16724),495332,(66294-1),2938,2
18276,206598,206598,(3320-14956),304532,(3320-10781),1421290,28456
36828,789630,789630,(1083-35745),204140,(1083-3239),4522,13
