tuples,qdags,ghd size,tuples per node,post mj size,post mj results,result size,number of results
434074,4106262,4106262,(19145-414929),465188,(19145-564),3466,6
70671,1254126,1254126,(1818-68853),334436,(1818-6185),2938,2
399329,4250622,4250622,(221689-177640),2577884,(221689-8),3826,10
31771,476094,476094,(13063-18708),300260,(13063-25),2938,3
534602,4614318,4614318,(447527-87075),3039260,(447527-1105),93466,806
493058,4722510,4722510,(49124-443934),1333244,(49124-34224),6754,37
31857,413238,413238,(19547-12310),199580,(19547-4),2938,4
642973,5537526,5537526,(85568-557405),1516364,(85568-271),2938,1
159990,1280718,1280718,(149063-10927),1128812,(149063-24),2938,1
47782,881334,881334,(4037-43745),255356,(4037-4083),15154,113
91225,1442382,1442382,(3383-87842),85748,(3383-759),2938,1
14427,298734,298734,(3541-10886),70052,(3541-95),2938,2
320851,1647678,1647678,(316230-4621),1570700,(316230-307),3442,8
612018,4282302,4282302,(15373-596645),892244,(15373-20309),2938,2
985108,6370854,6370854,(970133-14975),6433196,(970133-9432),2938,1
204479,1730646,1730646,(49621-154858),375428,(49621-1),2938,1
219818,1603374,1603374,(81310-138508),355532,(81310-26),2938,1
806166,2061198,2061198,(59193-746973),699212,(59193-25),2938,1
27560,444438,444438,(16172-11388),201236,(16172-6),2938,1
90579,1535142,1535142,(9641-80938),627284,(9641-12488),5986,26
166460,2617878,2617878,(60799-105661),731444,(60799-33),2938,2
195062,2625342,2625342,(132821-62241),1387364,(132821-1),2938,1
194751,1679118,1679118,(185415-9336),1665388,(185415-3832),2834,2
190873,1788126,1788126,(9051-181822),179852,(9051-106),2938,2
442092,2984550,2984550,(323065-119027),2339036,(323065-86),2938,1
116393,575046,575046,(4034-112359),43700,(4034-48),5890,52
5819,82734,82734,(1804-4015),32780,(1804-1),2938,1
83004,1082190,1082190,(33715-49289),436148,(33715-10),2938,1
41054,595806,595806,(1849-39205),53132,(1849-97),2938,3
1039299,8113062,8113062,(103576-935723),1632932,(103576-801),14554,113
937489,6534990,6534990,(2082-935407),50180,(2082-339),2938,1
46687,850686,850686,(1708-44979),32060,(1708-27),2938,2
178519,1815246,1815246,(167760-10759),1679468,(167760-237),2938,2
13510,197574,197574,(9320-4190),130412,(9320-517),25186,202
4768,107022,107022,(1561-3207),41348,(1561-2),2938,1
216251,1984950,1984950,(149063-67188),1133564,(149063-114),2938,2
438905,3764406,3764406,(3405-435500),89684,(3405-136),2938,2
80877,931734,931734,(5138-75739),64196,(5138-212),2938,1
55348,871038,871038,(5138-50210),54452,(5138-1),2938,1
862831,11497230,11497230,(12149-850682),1439756,(12149-31434),4282,16
37523,829230,829230,(1167-36356),102956,(1167-1383),2938,1
881185,11473134,11473134,(9903-871282),173228,(9903-737),2938,2
699395,5006862,5006862,(1307-698088),20420,(1307-5),2938,1
46535,701670,701670,(30486-16049),408692,(30486-6),2938,1
202700,1274382,1274382,(174359-28341),838220,(174359-199),3466,7
659786,5584782,5584782,(30679-629107),372404,(30679-274),5338,23
178733,1993206,1993206,(105493-73240),1122308,(105493-14),2938,4
26373,541470,541470,(7414-18959),179300,(7414-5),2938,2
707643,5084190,5084190,(3598-704045),30548,(3598-24),2938,1
953217,6663390,6663390,(1039-952178),50444,(1039-666),2938,3
