tuples,qdags,ghd,post mj,result
244047,2803826,2.80383e+06,38798,27644
736800,6204490,6.20449e+06,28110,26761
1388773,9389752,9.38975e+06,157556,31903
100349,1376616,1.37662e+06,48688,26841
962701,6674676,6.67468e+06,32318,54806688
1038243,6630892,6.63089e+06,65488,27562
14862,166278,166278,44104,27803
563629,4089950,4.08995e+06,124786,26661
753432,4460938,4.46094e+06,246270,27622
119384,1965480,1.96548e+06,343070,63204250
1151817,9315222,9.31522e+06,27342,26701
456275,2676912,2.67691e+06,25834,26741
135016,1388920,1.38892e+06,74996,958431
117008,1037106,1.03711e+06,18246,32186
347486,5272324,5.27232e+06,399028,26761
1725246,13882842,1.38828e+07,1.25964e+07,27742
1029699,6069892,6.06989e+06,2.78017e+06,33927
1082713,13924954,1.3925e+07,1.99781e+06,32203
825866,9342784,9.34278e+06,572750,472414
915881,7127246,7.12725e+06,56406,26741
762395,6779700,6.7797e+06,752868,26841
378388,2919808,2.91981e+06,767996,26861
347388,4355284,4.35528e+06,12036,26881
277858,2195372,2.19537e+06,1.17333e+06,3188305943
192592,2520688,2.52069e+06,22334,26761
390568,4679146,4.67915e+06,6422,26681
224677,2228370,2.22837e+06,76290,27462
36004,768968,768968,7158,26721
289278,2532158,2.53216e+06,1.03652e+06,26861
322543,3980284,3.98028e+06,251868,27222
440941,5611024,5.61102e+06,281270,26801
1429066,10981890,1.09819e+07,4.26122e+06,3.4162e+0658147
577991,4234950,4.23495e+06,5818,26721
861039,7838238,7.83824e+06,277004,31883
96015,1109906,1.10991e+06,32502,26661
183675,3577596,3.5776e+06,185880,1138434
1529632,11700012,1.17e+07,1.3023e+06,32143
36471,549474,549474,18398,423813
1493222,13866648,1.38666e+07,2.69008e+06,26821
447684,4040684,4.04068e+06,73648,26781
63327,731062,731062,9330,26761
584076,5209460,5.20946e+06,12582,26741
725505,5707904,5.7079e+06,153148,26722
527700,6533966,6.53397e+06,3.08941e+06,26821
273393,4117506,4.11751e+06,246538,26681
633453,9828882,9.82888e+06,145464,27522
103397,887488,887488,44412,706048
165104,1669506,1.66951e+06,10070,27342
427430,3161372,3.16137e+06,226820,26681
64371,1101816,1.10182e+06,143904,31264
