tuples,qdags,ghd size,tuples per node,post mj size,post mj results,result size,number of results
244047,2805200,2805200,(2265-241782),124860,(6-3391),3138,4
736800,6205856,6205856,(17293-719507),228228,(1-5186),3138,1
1388773,9391136,9391136,(3803-1384970),6676164,(3-349329),3642,3
100349,1377968,1377968,(89551-10798),15156,(178-33),3138,1
962701,6676088,6676088,(13327-949374),43044,(697-1034),55170,688
1038243,6632264,6632264,(64999-973244),28740,(17-677),3138,2
14862,167672,167672,(3809-11053),133788,(2-5392),3138,3
563629,4091384,4091384,(5636-557993),18924,(1-350),3138,1
753432,4462328,4462328,(608592-144840),121140,(2-2443),3138,2
119384,1966832,1966832,(43553-75831),262764,(1540-3351),63618,250
1151817,9316616,9316616,(6156-1145661),276780,(1-6809),3138,1
456275,2678360,2678360,(5568-450707),85380,(1-2814),3138,1
135016,1390256,1390256,(102848-32168),107580,(161-1744),10026,31
117008,1038464,1038464,(113911-3097),595212,(20273-42),3642,6
347486,5273720,5273720,(194033-153453),805476,(1803-14372),3138,1
1725246,13884248,13884248,(560548-1164698),57108,(1-2177),3138,2
1029699,6071312,6071312,(148678-881021),80964,(23-3749),3834,7
1082713,13926368,13926368,(108647-974066),4853652,(4-119497),3666,3
825866,9344168,9344168,(783100-42766),302868,(200-5707),5106,14
915881,7128632,7128632,(118863-797018),5508,(2-2),3138,1
762395,6781112,6781112,(51619-710776),190668,(65-4120),3138,1
378388,2921240,2921240,(301571-76817),89004,(1-1698),3138,1
347388,4356680,4356680,(64549-282839),10692,(61-57),3138,1
277858,2196752,2196752,(170557-107301),495084,(20082-6160),319218,5943
192592,2522072,2522072,(8084-184508),689292,(9-17316),3138,1
390568,4680512,4680512,(373958-16610),7284,(1-38),3138,1
224677,2229752,2229752,(29735-194942),204012,(22-6680),3138,2
36004,770360,770360,(5999-30005),9084,(8-85),3138,1
289278,2533568,2533568,(77099-212179),1181172,(23-58271),3138,1
322543,3981704,3981704,(235974-86569),19956,(276-104),3138,2
440941,5612432,5612432,(15537-425404),728844,(1-19923),3138,1
1429066,10983272,10983272,(647678-781388),4572516,(19200-395940),3416586,58147
577991,4236344,4236344,(22181-555810),30036,(1-591),3138,1
861039,7839632,7839632,(281846-579193),363108,(11-11969),3642,3
96015,1111280,1111280,(34440-61575),7308,(5-40),3138,1
183675,3578936,3578936,(141053-42622),1572156,(29629-731),11754,34
1529632,11701400,11701400,(699738-829894),1303092,(8-53144),3666,3
36471,550856,550856,(32706-3765),20436,(21-482),4650,13
1493222,13868048,13868048,(574564-918658),3351228,(1-105254),3138,1
447684,4042040,4042040,(4389-443295),258060,(1-8487),3138,1
63327,732464,732464,(50507-12820),31356,(1-678),3138,1
584076,5210816,5210816,(13803-570273),415308,(2-14774),3138,1
725505,5709296,5709296,(20628-704877),18132,(5-350),3138,2
527700,6535376,6535376,(188232-339468),911268,(4-23689),3138,1
273393,4118888,4118888,(15727-257666),427092,(5-8492),3138,1
633453,9830288,9830288,(12335-621118),1846836,(151-49341),3138,2
103397,888896,888896,(99020-4377),137148,(6819-48),7482,48
165104,1670888,1670888,(73654-91450),17436,(3-456),3138,2
427430,3162752,3162752,(357365-70065),35556,(34-944),3138,1
64371,1103240,1103240,(14993-49378),37044,(10-605),3570,4
