tuples,qdags,ghd,post mj,result
434074,2052937,2.05284e+06,232380,1831
70671,626899,626803,171745,1559
399329,2125152,2.12506e+06,1.28879e+06,2172
31771,237892,237796,149909,1572
534602,2306996,2.3069e+06,1.51945e+06,46887
493058,2361084,2.36099e+06,666437,3327
31857,206452,206356,99562,1611
642973,2768603,2.76851e+06,758003,1390
159990,640174,640078,564196,1499
47782,440479,440383,127475,7681
91225,721041,720945,42678,1545
14427,149185,149089,182325,1565
320851,823660,823564,785126,1868
612018,2140980,2.14088e+06,445941,1710
985108,3185228,3.18513e+06,3.21638e+06,1677
204479,865141,865045,187490,1484
219818,801479,801383,177540,1390
806166,1030394,1.0303e+06,349380,1883
27560,222081,221985,100441,1545
90579,767359,767263,362575,3065
166460,1308752,1.30866e+06,365500,1702
195062,1312475,1.31238e+06,693441,1545
194751,839337,839241,832507,1513
190873,893862,893766,89720,1413
442092,1492121,1.49202e+06,1.16935e+06,1545
116393,287320,287224,21637,3590
5819,41147,41051,163605,1545
83004,540924,540828,217820,1545
41054,297756,297660,26389,1587
1039299,4056319,4.05622e+06,816249,7380
937489,3267338,3.26724e+06,24897,1559
46687,425177,425081,15809,1566
178519,907434,907338,839524,1549
13510,98581,98485,65002,12682
4768,53346,53250,20431,1545
216251,992279,992183,566550,1533
438905,1882073,1.88198e+06,44690,1547
80877,466104,466008,31882,1702
55348,435353,435257,27006,1545
862831,5748422,5.74833e+06,719673,2258
37523,414490,414394,51300,15155
881185,5736373,5.73628e+06,86410,1565
699395,2503309,2.50321e+06,10040,1390
46535,350714,350618,204167,1545
202700,637023,636927,418944,1852
659786,2792267,2.79217e+06,186005,2791
178733,996431,996335,560981,1648
26373,270603,270507,89548,1567
707643,2541935,2.54184e+06,15117,1545
953217,3331569,3.33147e+06,25034,1405
