tuples,qdags,ghd size,tuples per node,post mj size,post mj results,result size,number of results
126856,772088,772088,(62810-64046),1234332,(1177-82322),16651290,478500
54593,465920,465920,(48309-6284),5964,(14-1),3138,1
23215,430208,430208,(13705-9510),44460,(704-150),5802,12
156838,1973912,1973912,(48309-108529),12852,(14-122),3138,1
38900,806552,806552,(21522-17378),69948,(1061-132),3738,3
49886,749312,749312,(19404-30482),76092,(1344-185),4794,7
768091,12733328,12733328,(39507-728584),4637676,(7-96254),3138,1
41143,852896,852896,(23055-18088),50268,(758-59),3738,3
444847,3382880,3382880,(378115-66732),49548,(855-92),3138,1
118310,2169968,2169968,(85104-33206),31476,(1-463),3138,1
49609,1007144,1007144,(2109-47500),447204,(18-9099),4890,8
83809,1552664,1552664,(67866-15943),28620,(286-152),3138,1
82561,1077968,1077968,(46289-36272),8508,(1-61),3714,5
110449,2137880,2137880,(35639-74810),102468,(580-1282),3666,3
24613,460280,460280,(3608-21005),14388,(21-169),3738,3
125552,1509272,1509272,(23729-101823),37620,(467-349),3186,4
129488,2363888,2363888,(8478-121010),72036,(1073-134),4794,7
59963,1248080,1248080,(6468-53495),332916,(74-6084),4866,8
1165665,12310496,12310496,(763987-401678),42180,(398-350),3138,1
85794,897872,897872,(72011-13783),358716,(8573-1432),89994,532
135459,1871408,1871408,(115219-20240),2134092,(6871-78649),3663357114,109705564
14767,203120,203120,(4774-9993),5964,(5-15),3138,1
462105,3592184,3592184,(194054-268051),1435644,(188-73791),3642,3
26677,393896,393896,(4646-22031),13836,(1-192),3138,1
207957,2479592,2479592,(173176-34781),14844,(196-9),62202,320
1838411,14306192,14306192,(541360-1297051),1623852,(4071-54434),3138,1
143243,2550536,2550536,(108439-34804),619044,(12890-1),3138,1
32599,494456,494456,(21199-11400),12540,(131-1),3138,1
410848,2597720,2597720,(350946-59902),462852,(5-9910),4074,5
35918,759176,759176,(13377-22541),27972,(390-22),3138,1
357537,3660704,3660704,(322015-35522),48348,(1823-133),3138,2
149883,1434464,1434464,(4021-145862),10884,(8-95),3138,1
70601,1437440,1437440,(6005-64596),54492,(135-770),4266,5
408618,4157888,4157888,(184137-224481),207324,(445-7691),4218,6
40552,794984,794984,(10303-30249),98892,(68-1729),3138,1
37210,776552,776552,(15305-21905),72444,(282-984),9114,23
839848,4593536,4593536,(317594-522254),16860,(772-160),14562,365
453950,2698256,2698256,(92689-361261),203316,(1706-11371),43554,448
53009,1020488,1020488,(26365-26644),259068,(495-5320),3138,1
13567,290600,290600,(2982-10585),61956,(43-1010),5442,10
46031,622280,622280,(3781-42250),51036,(1-1267),3138,1
53347,1014848,1014848,(41943-11404),18372,(12-215),3138,1
119836,2351528,2351528,(95936-23900),99924,(1652-154),3138,1
624395,3051200,3051200,(610211-14184),40548,(522-1036),16746,126
138071,1616912,1616912,(111878-26193),93156,(1917-166),10218,61
262289,4432328,4432328,(251963-10326),250452,(3272-1896),9138,23
173450,1641752,1641752,(81504-91946),55236,(443-1133),185586,1272
49260,513848,513848,(2277-46983),40116,(33-1295),15954,65
23796,458696,458696,(11287-12509),59580,(924-166),3714,3
