tuples,qdags
26802,183548
348430,1945094
515067,1826785
121567,896845
100004,538619
709677,2112819
123332,577338
1030581,3643816
795826,2772709
1025991,4457637
238018,956452
64098,467664
171719,741676
984462,2630522
1041969,3317076
1062592,3114104
663115,1777647
1999575,7130454
948844,3802331
410629,2459215
437030,2343411
525754,1912937
106036,465450
1106194,2985253
611491,2601553
285393,1746677
904821,4017164
113177,605291
226362,604859
78298,469542
757633,2806804
665462,2602610
156577,1019158
225692,1140735
66494,229225
1057272,3069765
710008,231809541920225154
420311,1855650
1620089,6139522
143847,796910
709885,1507084
889519,4720806
313595,643489
70756,320290
377058,1741434
133800,723858
269967,1170010
56254,295235
524719,2280049
1234103,3391246
