tuples,qdags,ghd,post mj,result
101478,952492,952492,53032,25783
3679,43586,43586,23022,16408510
51253,734506,734506,626872,739761085
281911,3235698,3.2357e+06,839440,668523633
9160,179482,179482,44308,24881
6980,114966,114966,24772,26364
15932,234386,234386,48428,24881
15099,234476,234476,32996,25382
91985,448902,448902,38160,24881
7482,133264,133264,31414,24881
421362,5079700,5.0797e+06,3.00121e+07,25042
326868,2399334,2.39933e+06,53890,463029
32074,394324,394324,44194,24881
20042,241616,241616,28224,445039
18363,340262,340262,125456,26364
209047,2923752,2.92375e+06,408768,25362
15124,269104,269104,50062,25688
124076,862442,862442,42722,24881
15908,130154,130154,18192,24881
36404,449266,449266,180134,307810
90741,812608,812608,33504,24881
193818,1228882,1.22888e+06,73068,310618
99981,1639672,1.63967e+06,122930,56132507
34845,624236,624236,200462,1119680
339367,4954862,4.95486e+06,473064,62294486
6303,129144,129144,100806,25342
1161622,8582008,8.58201e+06,190204,24881
40826,539890,539890,25222,25382
9499,213466,213466,54346,24881
48108,918752,918752,57006,477020
178914,1705042,1.70504e+06,21776,24881
26576,506422,506422,81560,420216
54123,628734,628734,58728,24881
24926,444276,444276,128492,20002172
37411,287624,287624,37586,332029
98381,1244076,1.24408e+06,304572,24881
159727,1799416,1.79942e+06,219486,24881
88132,714068,714068,32202,25382
79761,990150,990150,71096,24881
455642,4241796,4.2418e+06,2.47568e+07,1.44151e+0810141700
11217,235754,235754,82042,18274131
145550,1084658,1.08466e+06,242704,24881
20945,224644,224644,2.18578e+06,26906
38436,779916,779916,52438,24881
32548,676514,676514,36084,24881
13357,226770,226770,124128,33408264
10733,209284,209284,46820,29966
83018,665444,665444,66798,25262
18276,205540,205540,303840,1.42092e+0628456
36828,788578,788578,203480,407413
