tuples,qdags,ghd,post mj,result
244047,1402325,1.4022e+06,62212,1612
736800,3102693,3.10256e+06,113874,1723
1388773,4695360,4.69523e+06,3.33786e+06,1980
100349,688756,688628,7339,1727
962701,3337750,3.33762e+06,21309,27788
1038243,3315930,3.3158e+06,14201,1763
14862,83706,83578,66666,1775
563629,2045387,2.04526e+06,9221,1694
753432,2230917,2.23079e+06,60315,2535
119384,983188,983060,131465,31987
1151817,4658059,4.65793e+06,138148,1720
456275,1338940,1.33881e+06,42452,1568
135016,694908,694780,53581,5335
117008,519001,518873,297381,1840
347486,2636682,2.63655e+06,402532,1723
1725246,6941869,6.94174e+06,28336,1747
1029699,3035430,3.0353e+06,40275,2081
1082713,6962935,6.96281e+06,2.42661e+06,1852
825866,4671804,4.67168e+06,151250,2603
915881,3564071,3.56394e+06,2476,1722
762395,3390370,3.39024e+06,95116,1583
378388,1460352,1.46022e+06,44256,1728
347388,2178136,2.17801e+06,5129,1886
277858,1098134,1.09801e+06,247340,159657
192592,1260792,1.26066e+06,344464,1880
390568,2340057,2.33993e+06,3398,1719
224677,1114669,1.11454e+06,101814,1651
36004,384896,384768,4349,1566
289278,1266563,1.26644e+06,590411,1692
322543,1990626,1.9905e+06,9861,1746
440941,2805996,2.80587e+06,364177,1725
1429066,5491393,5.49126e+06,2.28604e+06,1.70849e+06
577991,2117959,2.11783e+06,14776,1721
861039,3919579,3.91945e+06,181349,2158
96015,555413,555285,3446,1792
183675,1789282,1.78915e+06,785860,6040
1529632,5850465,5.85034e+06,651382,2006
36471,275149,275021,10165,2504
1493222,6933736,6.93361e+06,1.67537e+06,1653
447684,2020790,2.02066e+06,129748,1579
63327,366015,365887,15430,1782
584076,2605297,2.60517e+06,207410,1796
725505,2854436,2.85431e+06,8831,1780
527700,3267431,3.2673e+06,455415,1726
273393,2059201,2.05907e+06,213347,1634
633453,4914889,4.91476e+06,1.00409e+06,1606
103397,444156,444028,68366,3772
165104,835237,835109,8489,2426
427430,1581135,1.58101e+06,17584,1719
64371,551356,551228,18302,1948
