tuples,qdags,ghd size,tuples per node,post mj size,post mj results,result size,number of results
244047,2805200,2805200,(21286-222761),39468,(25-893),3138,4
736800,6205856,6205856,(681687-55113),28884,(3-434),3138,1
1388773,9391136,9391136,(416794-971979),158244,(1959-1393),3642,3
100349,1377968,1377968,(9346-91003),49380,(4-911),3138,1
962701,6676088,6676088,(939871-22830),33012,(1014-356),55170,688
1038243,6632264,6632264,(13135-1025108),66252,(2-1357),3138,2
14862,167672,167672,(8062-6800),44868,(1896-2),3138,3
563629,4091384,4091384,(4485-559144),125436,(538-3588),3138,1
753432,4462328,4462328,(13057-740375),246972,(5-5891),3138,2
119384,1966832,1966832,(59743-59641),343740,(4144-2619),63618,250
1151817,9316616,9316616,(579989-571828),28068,(125-363),3138,1
456275,2678360,2678360,(450062-6213),26556,(4-508),3138,1
135016,1390256,1390256,(26229-108787),75708,(1141-372),10026,31
117008,1038464,1038464,(22765-94243),18972,(296-70),3642,6
347486,5273720,5273720,(235503-111983),399732,(9567-186),3138,1
1725246,13884248,13884248,(563657-1161589),12597108,(1745-568803),3138,2
1029699,6071312,6071312,(59880-969819),2780868,(42-91529),3834,7
1082713,13926368,13926368,(635051-447662),1998492,(47491-5),3666,3
825866,9344168,9344168,(28446-797420),573468,(52-15217),5106,14
915881,7128632,7128632,(15525-900356),57108,(1643-1225),3138,1
762395,6781112,6781112,(79430-682965),753564,(13729-455),3138,1
378388,2921240,2921240,(274798-103590),768708,(25093-4),3138,1
347388,4356680,4356680,(286730-60658),12780,(11-188),3138,1
277858,2196752,2196752,(26307-251551),1174020,(4912-56319),319218,5943
192592,2522072,2522072,(135008-57584),23004,(160-195),3138,1
390568,4680512,4680512,(93318-297250),7212,(36-1),3138,1
224677,2229752,2229752,(198225-26452),76980,(2405-36),3138,2
36004,770360,770360,(29506-6498),7932,(1-87),3138,1
289278,2533568,2533568,(156311-132967),1037292,(1-57161),3138,1
322543,3981704,3981704,(319599-2944),252540,(5821-7),3138,2
440941,5612432,5612432,(291244-149697),282036,(5528-2),3138,1
1429066,10983272,10983272,(205878-1223188),4261908,(19225-527785),3416586,58147
577991,4236344,4236344,(557606-20385),6588,(11-19),3138,1
861039,7839632,7839632,(405924-455115),277644,(8-8873),3642,3
96015,1111280,1111280,(39679-56336),33156,(217-357),3138,1
183675,3578936,3578936,(99899-83776),186564,(2382-758),11754,34
1529632,11701400,11701400,(699739-829893),1302948,(8-53144),3666,3
36471,550856,550856,(2338-34133),19044,(408-47),4650,13
1493222,13868048,13868048,(685270-807952),2690772,(42-84060),3138,1
447684,4042040,4042040,(434719-12965),74340,(1095-447),3138,1
63327,732464,732464,(13981-49346),10092,(9-100),3138,1
584076,5210816,5210816,(148515-435561),13332,(18-141),3138,1
725505,5709296,5709296,(10655-714850),153828,(373-5145),3138,2
527700,6535376,6535376,(463386-64314),3090180,(89820-2),3138,1
273393,4118888,4118888,(241138-32255),247212,(5381-41),3138,1
633453,9830288,9830288,(530956-102497),146172,(1898-789),3138,2
103397,888896,888896,(75667-27730),45108,(667-2411),7482,48
165104,1670888,1670888,(29514-135590),10884,(1-106),3138,2
427430,3162752,3162752,(260200-167230),227580,(1-6233),3138,1
64371,1103240,1103240,(21709-42662),144564,(2782-20),3570,4
