tuples,qdags,ghd,post mj,result,number of results
101478,953550,953550,53756,2938,3
3679,44646,44646,16676,16762,510
51253,735558,735558,181268,74338,1085
281911,3236742,3.23674e+06,2.08353e+06,67234,3633
9160,180534,180534,104372,2938,1
6980,115974,115974,45068,2938,4
15932,235398,235398,150404,2938,1
15099,235518,235518,145892,2938,2
91985,449958,449958,40340,2938,1
7482,134310,134310,45332,2938,1
421362,5080734,5.08073e+06,2.02348e+06,2938,2
326868,2400390,2.40039e+06,724196,5002,29
32074,395382,395382,44900,2938,1
20042,242670,242670,271196,4834,39
18363,341310,341310,238724,2938,4
209047,2924766,2.92477e+06,1.71456e+06,2938,2
15124,270126,270126,117836,2962,8
124076,863478,863478,777116,2938,1
15908,131166,131166,18956,2938,1
36404,450318,450318,361436,3466,10
90741,813654,813654,667748,2938,1
193818,1229934,1.22993e+06,838748,3490,18
99981,1640718,1.64072e+06,1.5557e+06,56506,507
34845,625254,625254,201140,11530,80
339367,4955910,4.95591e+06,473708,62674,486
6303,130182,130182,54284,2938,2
1161622,8583054,8.58305e+06,5.46043e+06,2938,1
40826,540942,540942,94340,2938,2
9499,214494,214494,102116,2938,1
48108,919782,919782,574148,5098,20
178914,1706094,1.70609e+06,34436,2938,1
26576,507486,507486,399836,4522,16
54123,629766,629766,528164,2938,1
24926,445326,445326,129164,20338,172
37411,288678,288678,225932,3730,29
98381,1245102,1.2451e+06,698228,2938,1
159727,1800486,1.80049e+06,220148,2938,1
88132,715110,715110,657668,2938,2
79761,991182,991182,698228,2938,1
455642,4242822,4.24282e+06,4.12008e+06,1.44152e+08,10141700
11217,236790,236790,115316,18634,131
145550,1085670,1.08567e+06,838748,2938,1
20945,225678,225678,45908,3058,6
38436,781014,781014,33428,2938,1
32548,677574,677574,73124,2938,1
13357,227838,227838,165452,33730,264
10733,210342,210342,47492,3394,6
83018,666462,666462,495332,2938,2
18276,206598,206598,304532,1.42129e+06,28456
36828,789630,789630,204140,4522,13
