tuples,qdags,ghd size,tuples per node,post mj size,post mj results,result size,number of results
101478,953550,953550,(30486-70992),408692,(30486-8),2938,3
3679,44646,44646,(1200-2479),120500,(1200-6961),16762,510
51253,735558,735558,(45102-6151),604820,(45102-234),74338,1085
281911,3236742,3236742,(103432-178479),1172276,(103432-285),67234,3633
9160,180534,180534,(2469-6691),57932,(2469-46),2938,1
6980,115974,115974,(1037-5943),25484,(1037-52),2938,4
15932,235398,235398,(3502-12430),125156,(3502-2108),2938,1
15099,235518,235518,(3796-11303),74828,(3796-181),2938,2
91985,449958,449958,(86127-5858),379748,(86127-1),2938,1
7482,134310,134310,(1354-6128),32060,(1354-352),2938,1
421362,5080734,5080734,(247949-173413),3049172,(247949-153),2938,2
326868,2400390,2400390,(133727-193141),1771436,(133727-2),5002,29
32074,395382,395382,(5897-26177),94916,(5897-19),2938,1
20042,242670,242670,(2563-17479),28940,(2563-39),4834,39
18363,341310,341310,(1860-16503),126164,(1860-1515),2938,4
209047,2924766,2924766,(11192-197855),409484,(11192-4187),2938,2
15124,270126,270126,(6574-8550),139724,(6574-562),2962,8
124076,863478,863478,(1923-122153),43412,(1923-444),2938,1
15908,131166,131166,(12912-2996),98588,(12912-4),2938,1
36404,450318,450318,(2168-34236),180836,(2168-9559),3466,10
90741,813654,813654,(7372-83369),288308,(7372-31513),2938,1
193818,1229934,1229934,(8955-184863),73748,(8955-603),3490,18
99981,1640718,1640718,(2625-97356),123644,(2625-1451),56506,507
34845,625254,625254,(10827-24018),314948,(10827-2919),11530,80
339367,4955910,4955910,(50141-289226),919940,(50141-4967),62674,486
6303,130182,130182,(1640-4663),101516,(1640-1299),2938,2
1161622,8583054,8583054,(17563-1144059),190916,(17563-186),2938,1
40826,540942,540942,(33715-7111),435668,(33715-7),2938,2
9499,214494,214494,(2473-7026),95540,(2473-541),2938,1
48108,919782,919782,(1068-47040),57692,(1068-534),5098,20
178914,1706094,1706094,(176447-2467),1659284,(176447-1),2938,1
26576,507486,507486,(3174-23402),87524,(3174-316),4522,16
54123,629766,629766,(1130-52993),59396,(1130-1027),2938,1
24926,445326,445326,(8412-16514),166364,(8412-459),20338,172
37411,288678,288678,(1372-36039),38300,(1372-29),3730,29
98381,1245102,1245102,(16948-81433),305252,(16948-1365),2938,1
159727,1800486,1800486,(99151-60576),1058468,(99151-109),2938,1
88132,715110,715110,(1807-86325),45356,(1807-20),2938,2
79761,991182,991182,(16948-62813),242972,(16948-219),2938,1
455642,4242822,4242822,(39978-415664),4921964,(39978-506141),144151642,10141700
11217,236790,236790,(5175-6042),129740,(5175-457),18634,131
145550,1085670,1085670,(16785-128765),207020,(16785-1),2938,1
20945,225678,225678,(15570-5375),170108,(15570-3),3058,6
38436,781014,781014,(1213-37223),53180,(1213-748),2938,1
32548,677574,677574,(1207-31341),36764,(1207-101),2938,1
13357,227838,227838,(1961-11396),112076,(1961-1317),33730,264
10733,210342,210342,(1369-9364),40604,(1369-288),3394,6
83018,666462,666462,(3289-79729),67484,(3289-906),2938,2
18276,206598,206598,(4843-13433),448172,(4843-15903),1421290,28456
36828,789630,789630,(19897-16931),411284,(19897-123),4522,13
