tuples,qdags,ghd size,tuples per node,post mj size,post mj results,result size,number of results
26802,367496,367496,(21191-5611),20868,(1-286),3138,1
348430,3890768,3890768,(277431-70999),30516,(2-702),3138,1
515067,3653984,3653984,(419469-95598),7884,(2-86),3138,1
121567,1794176,1794176,(4466-117101),8196,(47-26),3210,12
100004,1077632,1077632,(67668-32336),144180,(6-21904),14346,476
709677,4226120,4226120,(503213-206464),69252,(9-2298),3402,6
123332,1155080,1155080,(18958-104374),563988,(1-43595),3138,2
1030581,7288088,7288088,(92546-938035),181884,(1063-10040),6042,18
795826,5545904,5545904,(221726-574100),1025484,(1-95706),3138,1
1025991,8915816,8915816,(570722-455269),428724,(91-18496),98994,7161
238018,1913072,1913072,(111099-126919),50964,(110-2249),12594,87
64098,935720,935720,(55907-8191),8124,(1-117),3138,1
171719,1483832,1483832,(21132-150587),59700,(1-1936),3138,1
984462,5261600,5261600,(416324-568138),77820,(18687-44),29010,2323
1041969,6634592,6634592,(46085-995884),60636,(2260-12),3138,4
1062592,6228704,6228704,(528360-534232),292092,(250-9149),31554,250
663115,3555848,3555848,(31548-631567),4721772,(58-496482),5874,21
1999575,14261432,14261432,(1258308-741267),14499396,(3-2785183),6954,97
948844,7605128,7605128,(282733-666111),223476,(10-8777),3642,4
410629,4918928,4918928,(11680-398949),12012,(3-114),3498,3
437030,4687232,4687232,(249258-187772),12228,(94-103),3138,2
525754,3826352,3826352,(208803-316951),6756,(14-42),3138,1
106036,931328,931328,(96671-9365),7980,(8-63),5178,24
1106194,5970968,5970968,(194696-911498),327804,(3-12962),3162,6
611491,5169704,5169704,(47312-564179),1607772,(2-74478),12066,128
285393,3493784,3493784,(2327-283066),242700,(1-6175),3138,1
904821,8034848,8034848,(272015-632806),119316,(153-2747),3138,2
113177,1211096,1211096,(29326-83851),42588,(2-1083),3138,1
226362,1210184,1210184,(110037-116325),7116,(1-81),3186,4
78298,939536,939536,(12362-65936),113196,(59-3633),8394,29
757633,5614088,5614088,(59263-698370),7612644,(2-500179),23634,150
665462,5205752,5205752,(24408-641054),177660,(1-5478),3138,1
156577,2038760,2038760,(18712-137865),85500,(1-2176),3138,1
225692,2281928,2281928,(177735-47957),34548,(258-398),45042,248
66494,458936,458936,(20778-45716),20604,(1-496),3138,2
1057272,6140096,6140096,(13038-1044234),5901276,(3063-517349),253650,2655
710008,6324608,6324608,(134225-575783),54564,(1-1180),3138,1
420311,3711488,3711488,(15757-404554),21660,(17-477),4122,9
1620089,12279584,12279584,(348798-1271291),1658700,(3-68781),3690,3
143847,1594304,1594304,(2437-141410),230340,(1-5420),3138,1
709885,3014576,3014576,(328834-381051),91596,(10-4058),3522,4
889519,9442208,9442208,(12350-877169),1910604,(15-58335),3618,4
313595,1287512,1287512,(119328-194267),219972,(5527-8387),9906,71
70756,641000,641000,(65667-5089),6612,(1-32),3186,4
377058,3483296,3483296,(43618-333440),169476,(69-7075),7218,26
133800,1448216,1448216,(4480-129320),922860,(1-34084),3138,1
269967,2340456,2340456,(51299-218668),21380,(1-543),3034,1
56254,590912,590912,(37130-19124),14676,(10-545),7410,76
524719,4560344,4560344,(186874-337845),79572,(6-1970),103770,704
1234103,6783080,6783080,(522806-711297),116532,(20-8677),4386,9
