tuples,qdags,ghd,post mj,result
126856,385832,385704,616973,8.32583e+06
54593,232780,232652,2743,1724
23215,214843,214715,22037,3092
156838,986732,986604,6210,2200
38900,403349,403221,34768,2026
49886,374376,374248,37861,2922
768091,6366388,6.36626e+06,2.33718e+06,1725
41143,426270,426142,24920,2022
444847,1691221,1.69109e+06,24719,1723
118310,1084710,1.08458e+06,15514,1724
49609,503310,503182,223370,2649
83809,776072,775944,14143,1571
82561,538747,538619,4023,5261
110449,1068996,1.06887e+06,51014,1994
24613,229949,229821,6968,2021
125552,754502,754374,18603,1593
129488,1181936,1.18181e+06,38747,3032
59963,623789,623661,166231,2633
1165665,6155013,6.15488e+06,20931,1728
85794,591779368215186434,5.91779e+17,179163,45189
135459,935499,935371,1.06686e+06,1.83168e+09
14767,101268,101140,2800,1722
462105,1795915,1.79579e+06,718323,1983
26677,196773,196645,6680,2361
207957,1239565,1.23944e+06,7211,31298
1838411,7152834,7.15271e+06,886787,1680
143243,1275007,1.27488e+06,309284,1722
32599,246942,246814,6673,1720
410848,1298608,1.29848e+06,231226,2199
35918,379384,379256,13790,1723
357537,1830083,1.82996e+06,24078,1751
149883,717036,716908,5294,1718
70601,718510,718382,27032,2289
408618,2078728,2.0786e+06,103473,2408
40552,397202,397074,49230,1725
37210,388039,387911,36014,4719
839848,2296536,2.29641e+06,8218,7641
453950,1348901,1.34877e+06,101456,21967
53009,509998,509870,129344,1722
13567,145007,144879,30749,11050
46031,310943,310815,25267,2204
53347,507201,507073,8997,1721
119836,1175531,1.1754e+06,49769,1723
624395,1525314,1.52519e+06,20099,9841
138071,808180,808052,46383,6549
262289,2215872,2.21574e+06,125043,4725
173450,820682,820554,27396,93222
49260,256643,256515,19845,8158
23796,229104,228976,29739,2011
