tuples,qdags,ghd,post mj,result
101478,476575,476479,204159,1590
3679,22111,22015,60022,8505
51253,367571,367475,302174,37289
281911,1618204,1.61811e+06,585962,33582
9160,90095,89999,28776,1545
6980,58449,58353,12842,1619
15932,117583,117487,62402,1545
15099,117592,117496,37231,1570
91985,224805,224709,189656,1545
7482,66986,66890,15839,1545
421362,2540168,2.54007e+06,1.52437e+06,2740
326868,1199985,1.19989e+06,885462,2616
32074,197481,197385,47394,2024
20042,121162,121066,14388,2526
18363,170640,170544,62896,1619
209047,1462194,1.4621e+06,204516,1569
15124,134906,134810,69656,1430
124076,431575,431479,21493,1400
15908,65431,65335,49107,1545
36404,224951,224855,90199,1840
90741,406622,406526,143923,1545
193818,614831,614735,36702,1855
99981,820190,820094,61633,28367
34845,312436,312340,157259,5899
339367,2477821,2.47772e+06,459800,31448
6303,64926,64830,50571,1940
1161622,4291322,4.29123e+06,95234,1545
40826,270263,270167,217642,1570
9499,107051,106955,47556,1391
48108,459766,459670,28671,2579
178914,852839,852743,829391,1545
26576,253529,253433,43532,2257
54123,314685,314589,29651,1545
24926,222528,222432,82982,11672
37411,144166,144070,18925,2044
98381,622392,622296,152418,1545
159727,900073,899977,529062,3416
88132,357388,357292,22485,1570
79761,495418,495322,121262,1545
455642,2121216,2.12112e+06,2.46078e+06,7.20758e+07
11217,118268,118172,64679,9438
145550,542647,542551,103272,1545
20945,112640,112544,84830,1646
38436,390312,390216,26351,2660
32548,338611,338515,165641,2181
13357,113739,113643,55856,17005
10733,105032,104936,20141,11171
83018,333040,332944,33531,1564
18276,103088,102992,224027,710808
36828,394643,394547,205412,2338
