tuples,qdags,ghd size,tuples per node,post mj size,post mj results,result size,number of results
167595,1205382,1205382,(45255-122340),482876,(45255-17),2938,3
211815,2504814,2504814,(172137-39678),2023748,(172137-13),5986,52
15463,196950,196950,(9948-5515),112268,(9948-1),2938,1
673461,4991334,4991334,(574760-98701),4473620,(574760-12022),556498,24044
598723,4507782,4507782,(574760-23963),4284236,(574760-2),2938,2
222537,2133390,2133390,(33951-188586),332228,(33951-501),2938,1
69976,1050678,1050678,(12132-57844),193364,(12132-807),3298,7
49253,462102,462102,(20034-29219),377612,(20034-8979),105130,2419
139331,1912086,1912086,(4493-134838),83492,(4493-40),3370,5
189828,2278686,2278686,(172137-17691),2025044,(172137-38),2938,2
17335,109710,109710,(11762-5573),85340,(11762-1),2938,1
1016069,11628534,11628534,(997151-18918),11389868,(997151-42),54538,697
92817,1357614,1357614,(84900-7917),1283108,(84900-4),7618,141
58286,402054,402054,(45881-12405),242660,(45881-666),3346,6
211585,2453814,2453814,(202527-9058),2332796,(202527-1),3010,5
704695,5539302,5539302,(3320-701375),48620,(3320-2),2938,2
201453,1575582,1575582,(6437-195016),101180,(6437-33),3274,6
215119,2566782,2566782,(53814-161305),485828,(53814-1),2938,1
929911,6538782,6538782,(518859-411052),2994548,(518859-474),5962,30
16454,198510,198510,(1700-14754),23420,(1700-7),2938,3
21158,177270,177270,(17800-3358),144284,(17800-1),2938,1
113310,1329030,1329030,(103432-9878),1172420,(103432-114),3442,7
291240,3700806,3700806,(238606-52634),3207044,(238606-8),2938,1
94919,1412430,1412430,(11019-83900),111524,(11019-1),2938,1
40841,278406,278406,(9961-30880),118412,(9961-1),2938,1
1081653,7015254,7015254,(525375-556278),3067724,(525375-1753),82354,1490
200070,1475022,1475022,(24267-175803),378260,(24267-11),2938,3
13666,175566,175566,(9948-3718),113276,(9948-25),4426,17
122578,1568382,1568382,(103432-19146),1167068,(103432-3),6922,42
1069859,4600998,4600998,(191616-878243),613820,(191616-54),6466,36
8354,108558,108558,(4503-3851),60836,(4503-2),2938,2
205508,2466870,2466870,(172137-33371),2025596,(172137-76),241906,5110
588887,4634406,4634406,(469088-119799),3049436,(469088-5140),2938,1
527068,3031926,3031926,(518859-8209),2974076,(518859-235),4378,37
622108,3002118,3002118,(607178-14930),2837276,(607178-177),11818,245
704377,5537382,5537382,(4503-699874),60836,(4503-6),3154,8
38760,421806,421806,(20034-18726),221684,(20034-1),2938,1
65857,897462,897462,(42316-23541),464564,(42316-3),2938,1
247951,2979462,2979462,(20821-227130),307124,(20821-1),2938,1
570521,3802326,3802326,(2521-568000),26708,(2521-39),3058,19
319500,3073062,3073062,(306780-12720),2912660,(306780-3),2938,3
5373,97110,97110,(1039-4334),28436,(1039-10),2938,1
307607,2258094,2258094,(191616-115991),611012,(191616-8),2938,1
141685,1422126,1422126,(3165-138520),159452,(3165-4507),28762,534
830793,9061686,9061686,(54760-776033),843092,(54760-75),825778,21387
1600399,18450102,18450102,(574760-1025639),4284236,(574760-1),2938,1
94924,772662,772662,(81993-12931),667748,(81993-1),2938,3
221674,1743294,1743294,(118988-102686),778580,(118988-32),9370,77
188712,1611846,1611846,(163346-25366),1421516,(163346-93),7786,93
112665,734694,734694,(16713-95952),91436,(16713-73),3034,7
