tuples,qdags,ghd,post mj,result
126856,770694,770694,233478,1.66509e+07478500
54593,464520,464520,5748,26781
23215,428790,428790,42694,541412
156838,1972546,1.97255e+06,21966,26721
38900,805178,805178,40428,32823
49886,747928,747928,347076,43327
768091,12731932,1.27319e+07,202710,26801
41143,851500,851500,91622,32743
444847,3381498,3.3815e+06,33086,26761
118310,2168596,2.1686e+06,156264,26781
49609,1005724,1.00572e+06,68894,45288
83809,1551248,1.55125e+06,328104,26821
82561,1076598,1.0766e+06,154380,32925
110449,2136540,2.13654e+06,1.14967e+06,32183
24613,458930,458930,22082,32723
125552,1507866,1.50787e+06,436590,27244
129488,2362518,2.36252e+06,53900,43367
59963,1246682,1.24668e+06,90464,44968
1165665,12309130,1.23091e+07,3.18529e+06,26861
85794,896504,896504,160260,89608532
135459,1870030,1.87003e+06,1.37936e+06,3.66336e+09109705564
14767,201712,201712,20974,26741
462105,3590790,3.59079e+06,155754,31963
26677,392506,392506,32802,26801
207957,2478234,2.47823e+06,122084,61826320
1838411,14304772,1.43048e+07,6.54558e+06,26821
143243,2549118,2.54912e+06,28510,26741
32599,493060,493060,17072,26701
410848,2596320,2.59632e+06,729894,36285
35918,757800,757800,142038,26761
357537,3659364,3.65936e+06,526418,27322
149883,1433104,1.4331e+06,7258,26661
70601,1436050,1.43605e+06,119496,38085
408618,4156538,4.15654e+06,659930,37846
40552,793580,793580,74066,26801
37210,775182,775182,73170,866823
839848,4592176,4.59218e+06,15830,14198365
453950,2696882,2.69688e+06,1.23847e+06,43186448
53009,1019100,1.0191e+06,100450,26741
13567,289190,289190,110010,507810
46031,620918,620918,13214,26801
53347,1013434,1.01343e+06,40508,26721
119836,2350166,2.35017e+06,55060,26761
624395,3049804,3.0498e+06,1.63053e+07,16388126
138071,1615514,1.61551e+06,183024,978461
262289,4430920,4.43092e+06,85936,868023
173450,1640396,1.6404e+06,3.3627e+06,1852181272
49260,512462,512462,10164,1554665
23796,457312,457312,62322,32523
