tuples,qdags,ghd,post mj,result,number of results
244047,2805200,2.8052e+06,39468,3138,4
736800,6205856,6.20586e+06,28884,3138,1
1388773,9391136,9.39114e+06,158244,3642,3
100349,1377968,1.37797e+06,49380,3138,1
962701,6676088,6.67609e+06,33012,55170,688
1038243,6632264,6.63226e+06,66252,3138,2
14862,167672,167672,44868,3138,3
563629,4091384,4.09138e+06,125436,3138,1
753432,4462328,4.46233e+06,246972,3138,2
119384,1966832,1.96683e+06,343740,63618,250
1151817,9316616,9.31662e+06,28068,3138,1
456275,2678360,2.67836e+06,26556,3138,1
135016,1390256,1.39026e+06,75708,10026,31
117008,1038464,1.03846e+06,18972,3642,6
347486,5273720,5.27372e+06,399732,3138,1
1725246,13884248,1.38842e+07,1.25971e+07,3138,2
1029699,6071312,6.07131e+06,2.78087e+06,3834,7
1082713,13926368,1.39264e+07,1.99849e+06,3666,3
825866,9344168,9.34417e+06,573468,5106,14
915881,7128632,7.12863e+06,57108,3138,1
762395,6781112,6.78111e+06,753564,3138,1
378388,2921240,2.92124e+06,768708,3138,1
347388,4356680,4.35668e+06,12780,3138,1
277858,2196752,2.19675e+06,1.17402e+06,319218,5943
192592,2522072,2.52207e+06,23004,3138,1
390568,4680512,4.68051e+06,7212,3138,1
224677,2229752,2.22975e+06,76980,3138,2
36004,770360,770360,7932,3138,1
289278,2533568,2.53357e+06,1.03729e+06,3138,1
322543,3981704,3.9817e+06,252540,3138,2
440941,5612432,5.61243e+06,282036,3138,1
1429066,10983272,1.09833e+07,4.26191e+06,3.41659e+06,58147
577991,4236344,4.23634e+06,6588,3138,1
861039,7839632,7.83963e+06,277644,3642,3
96015,1111280,1.11128e+06,33156,3138,1
183675,3578936,3.57894e+06,186564,11754,34
1529632,11701400,1.17014e+07,1.30295e+06,3666,3
36471,550856,550856,19044,4650,13
1493222,13868048,1.3868e+07,2.69077e+06,3138,1
447684,4042040,4.04204e+06,74340,3138,1
63327,732464,732464,10092,3138,1
584076,5210816,5.21082e+06,13332,3138,1
725505,5709296,5.7093e+06,153828,3138,2
527700,6535376,6.53538e+06,3.09018e+06,3138,1
273393,4118888,4.11889e+06,247212,3138,1
633453,9830288,9.83029e+06,146172,3138,2
103397,888896,888896,45108,7482,48
165104,1670888,1.67089e+06,10884,3138,2
427430,3162752,3.16275e+06,227580,3138,1
64371,1103240,1.10324e+06,144564,3570,4
