tuples,qdags,ghd size,tuples per node,post mj size,post mj results,result size,number of results
126856,772088,772088,(46092-80764),234204,(21828-527),16651290,478500
54593,465920,465920,(51181-3412),6516,(12-9),3138,1
23215,430208,430208,(14753-8462),43332,(357-440),5802,12
156838,1973912,1973912,(101851-54987),22620,(256-88),3138,1
38900,806552,806552,(22575-16325),41124,(222-484),3738,3
49886,749312,749312,(29093-20793),347772,(6-11390),4794,7
768091,12733328,12733328,(451379-316712),203436,(4-3715),3138,1
41143,852896,852896,(9172-31971),92316,(37-1620),3738,3
444847,3382880,3382880,(412211-32636),33780,(14-475),3138,1
118310,2169968,2169968,(4513-113797),157044,(1-2971),3138,1
49609,1007144,1007144,(18258-31351),69660,(530-666),4890,8
83809,1552664,1552664,(3042-80767),328740,(8-7076),3138,1
82561,1077968,1077968,(28425-54136),155052,(21-5432),3714,5
110449,2137880,2137880,(3242-107207),1150332,(13-24409),3666,3
24613,460280,460280,(21116-3497),22836,(250-81),3738,3
125552,1509272,1509272,(3355-122197),437292,(4-22668),3186,4
129488,2363888,2363888,(8961-120527),54588,(894-77),4794,7
59963,1248080,1248080,(34235-25728),91164,(487-1176),4866,8
1165665,12310496,12310496,(7708-1157957),3186060,(2-122092),3138,1
85794,897872,897872,(77368-8426),160908,(1254-2176),89994,532
135459,1871408,1871408,(112016-23443),1380036,(46620-8542),3663357114,109705564
14767,203120,203120,(7091-7676),21732,(1-1230),3138,1
462105,3592184,3592184,(158740-303365),156444,(13-4933),3642,3
26677,393896,393896,(11576-15101),33468,(17-735),3138,1
207957,2479592,2479592,(5514-202443),122748,(186-5000),62202,320
1838411,14306192,14306192,(794177-1044234),6546276,(30-462182),3138,1
143243,2550536,2550536,(104067-39176),29292,(1-548),3138,1
32599,494456,494456,(28040-4559),17868,(1-226),3138,1
410848,2597720,2597720,(13122-397726),730668,(1-18409),4074,5
35918,759176,759176,(10323-25595),142644,(7-2535),3138,1
357537,3660704,3660704,(19158-338379),527100,(136-22734),3138,2
149883,1434464,1434464,(10060-139823),7932,(14-37),3138,1
70601,1437440,1437440,(7485-63116),120156,(139-2197),4266,5
408618,4157888,4157888,(130988-277630),660684,(1-30468),4218,6
40552,794984,794984,(30522-10030),74748,(1167-219),3138,1
37210,776552,776552,(23900-13310),73836,(604-688),9114,23
839848,4593536,4593536,(520223-319625),16548,(74-255),14562,365
453950,2698256,2698256,(47709-406241),1239180,(16-79356),43554,448
53009,1020488,1020488,(15655-37354),101244,(2-1793),3138,1
13567,290600,290600,(2078-11489),110700,(41-1912),5442,10
46031,622280,622280,(14215-31816),13956,(4-194),3138,1
53347,1014848,1014848,(26604-26743),41172,(8-617),3138,1
119836,2351528,2351528,(26670-93166),55740,(263-773),3138,1
624395,3051200,3051200,(6198-618197),16305972,(42-3783094),16746,126
138071,1616912,1616912,(15666-122405),183708,(236-5504),10218,61
262289,4432328,4432328,(12391-249898),86604,(319-1281),9138,23
173450,1641752,1641752,(41765-131685),3363420,(3-139845),185586,1272
49260,513848,513848,(7938-41322),10836,(165-28),15954,65
23796,458696,458696,(8226-15570),62988,(80-1202),3714,3
