0,150111
0,212923
0,116326
0,213627
0,30643
0,166585
0,463378
0,130241
0,708878
0,0926067
0,0970102
0,320516
0,63465
0,243657
1,17894
11,4811
0,888468
3,95002
0,384415
0,241555
0,32114
0,324501
0,362672
0,27846
0,210042
0,186487
0,646718
0,368252
0,623828
0,35702
0,343093
3,04711
0,657224
3,10176
0,74696
0,764879
3,04912
0,313426
3,1408
3,00919
0,474899
0,606906
2,54968
3,16609
3,06446
0,297573
3,14329
3,03623
0,481823
0,634561
2,51673
0,249171
0,533329
0,552815
0,337175
0,732007
0,349165
3,00582
2,96184
0,776179
0,554895
2,40228
0,720692
0,368087
0,264304
0,36069
0,212545
0,735492
0,48061
0,476833
0,770984
0,368125
0,409649
0,387829
0,327714
0,390511
2,34169
0,364423
0,369545
0,351084
0,317737
0,352524
0,398236
0,381391
0,367099
0,4853
0,462957
0,309136
0,347838
0,381046
0,402267
2,36139
0,379808
0,355692
0,389822
0,384077
0,407486
0,468127
0,403632
0,789051
0,442588
0,370991
0,461684
0,727894
0,367898
0,355636
0,394656
0,38864
0,395958
0,463287
0,401734
0,81342
0,851202
0,779044
0,894665
0,867548
1,34448
1,3247
1,39874
1,41147
1,40759
1,30497
1,31354
1,34903
1,3866
1,45201
1,32888
1,3233
0,553764
0,557882
0,0523393
0,0604994
0,459852
1,02657
0,444353
0,415919
0,439791
0,434495
0,432422
0,432799
1,18823
1,90133
2,04671
1,90555
0,379796
0,437087
0,389404
0,505121
0,409921
0,36481
0,366065
0,360552
0,374477
0,387636
0,367847
0,335513
0,734935
0,240271
0,542734
0,531502
2,35703
