0,194228
0,19058
0,19161
0,176998
0,197586
0,176432
0,467174
0,210156
0,47099
0,462651
0,190637
0,189593
0,295432
0,294066
0,255391
0,274101
23,2012
10,2599
7,8693
18,7192
1,91168
3,30805
0,668244
0,804252
2,39261
2,30292
1,77671
4,84376
1,42138
1,10848
0,490923
0,44893
0,735018
0,723122
1,14766
0,743798
1,44897
0,635772
0,59793
0,664098
0,630894
0,330812
0,247387
0,31267
0,182901
0,198943
0,21012
0,180653
0,18314
0,178276
0,187688
1,65869
5,8934
1,28063
1,78694
1,36264
2,47504
1,61994
2,16377
11,0483
0,670984
0,406151
2,4687
0,495057
0,88122
1,49849
5,61239
1,06523
1,58214
1,16037
2,15176
1,45097
1,91953
1,41839
0,963024
0,879528
1,4322
0,983926
1,08529
1,42067
1,29149
1,30143
1,21342
1,17696
0,606364
0,563019
1,5536
2,66715
1,59798
1,62838
1,67919
2,03632
