0,142787
0,209367
0,107903
0,145869
0,246945
0,129066
0,40117
0,0968208
0,574932
0,087881
0,0990897
0,0979906
0,429417
0,199045
0,325757
3,25843
0,652831
3,20232
0,362152
0,258187
0,335245
0,336646
0,363897
0,265703
0,228593
0,205237
0,657444
0,384378
0,631
0,35962
0,35982
3,01031
0,664963
3,09457
0,725037
0,771477
3,0498
0,3079
3,02311
2,99518
0,474999
0,617023
2,45625
2,84849
3,02575
0,306573
3,03098
2,98625
0,476334
0,61876
2,46812
0,24912
0,55162
0,549676
0,346477
0,737678
0,368174
2,99357
3,03555
0,77633
0,568355
2,34639
0,747914
0,386392
0,264604
0,380655
0,226814
0,7351
0,492568
0,49627
0,782144
0,406325
0,443819
0,394634
0,331164
0,378966
2,308
0,351288
0,392309
0,365132
0,322823
0,348195
0,407668
0,407816
0,394691
0,503491
0,462518
0,332263
0,360173
0,41863
0,40004
2,37283
0,376999
0,369022
0,424121
0,38513
0,403277
0,509769
0,424445
0,806862
0,442246
0,40183
0,455516
0,758493
0,386555
0,354045
0,413736
0,382991
0,398627
0,485169
0,406506
0,802471
0,909497
0,818654
0,941507
0,833226
1,37292
1,35244
1,32831
1,3954
1,39893
1,35085
1,43651
1,36778
1,38555
1,47392
1,31969
1,37379
0,554204
0,571332
0,0370552
0,0602668
0,461423
1,05367
0,457806
0,419417
0,423758
0,443427
0,443007
0,451221
0,911425
1,79038
1,97863
1,77302
0,376622
0,377116
0,381038
0,397645
0,380851
0,365234
0,366191
0,365562
0,377989
0,377471
0,368296
0,34824
0,75693
0,24483
0,553511
0,546195
2,38535
