52,5111
401,812
105,814
40,2422
697,349
151,075
878,731
62,5204
968,506
40,3637
44,4321
30,5004
939,796
406,589
736,781
timeout
timeout
timeout
113,685
83,8883
120,046
116,644
113,33
83,743
46,2727
60,0052
179,731
120,544
171,281
116,795
120,215
436,588
179,582
435,139
87,1377
85,3296
436,889
123,67
433,746
434,169
89,0005
170,89
391,826
431,628
431,287
174,652
433,435
433,986
87,6321
175,764
391,92
80,2553
157,762
164,578
111,869
209,361
119,216
435,018
433,027
85,4247
159,971
388,152
84,4425
118,763
94,3886
122,326
48,4246
86,3735
89,191
87,6612
85,8907
5,43613
194,986
103,928
78,8636
118,355
timeout
139,859
148,564
79,3669
60,4839
94,297
186,93
100,325
112,016
277,453
135,524
93,2468
96,3756
208,186
113,346
timeout
213,342
164,999
217,663
162,31
208,312
315,043
232,168
433,116
308,206
231,173
366,718
384,832
288,536
212,17
103,877
76,5572
101,44
146,18
119,21
419,071
74,2973
127,374
68,2772
123,159
100,103
330,004
132,276
663,894
309,828
134,427
482,032
174,481
939,429
402,268
341,368
268,248
252,569
240,982
86,799
97,3089
175,192
1738,67
231,693
182,702
182,822
157,25
101,379
229,631
timeout
timeout
timeout
timeout
597,306
1534,16
582,746
1181,27
1652,86
580,196
1562,72
614,254
869,414
timeout
1699,57
111,246
213,749
79,8562
164,759
158,362
398,487
