0,143112
0,144131
0,143017
0,145713
0,142242
0,141041
0,456503
0,210204
0,454617
0,450858
0,184616
0,185461
0,205815
0,202513
0,189667
0,189747
22,9167
10,0381
7,76711
18,4066
1,8144
3,21103
0,614982
0,766675
1,81902
1,75378
1,24805
4,34745
0,855034
0,741562
0,436671
0,423246
0,450302
0,443712
0,844112
0,439603
1,15323
0,623821
0,587491
0,661566
0,617861
0,321042
0,239093
0,304698
0,1315
0,136379
0,140125
0,133088
0,133999
0,137568
0,137815
1,31206
5,49877
1,1059
1,42633
1,15389
2,01283
1,28754
1,77814
10,8571
0,57506
0,300017
2,34886
0,39549
0,784852
1,36697
5,4504
0,917347
1,40747
1,05345
2,01519
1,30536
1,76684
0,819079
0,721911
0,714819
0,813315
0,719373
0,719461
0,797711
0,731169
0,734213
1,15555
1,15289
0,541592
0,540083
1,47489
2,50182
1,51965
1,49355
1,61937
1,95272
