Pattern,Mean difference,Median difference,Most  hindrance,Most improvement
J3,-23.35,-22.81,-76.49,-4.75
T3,-21.01,-20.35,-67.25,-2.28
Ti3,-22.93,-21.59,-65.97,-0.58
J4,21.88,20.82,1.54,49.3
T4,15.08,11.77,-4.7,42.46
Ti4,27.64,30.47,-16.88,51.94
triangle_tadpole,-3.5,-3.75,-35.23,31.37
square_tadpole,9.21,4.52,-19.93,41.0
bowtie,8.85,7.31,-23.55,40.6
triangle_barbell,4.75,4.17,-1.39,18.54
square_barbell,3.75,1.34,-4.9,37.53
penta_barbell,19.3,19.78,-4.03,45.34
